Residence,Region,Sub-Region,Period,Business
United States of America,America,,2014-02,7781
Indonesia,Asia,Southeast Asia,2014-02,509
Argentina,America,,2014-03,34
Canada,America,,2014-03,930
Brazil,America,,2014-03,188
Mexico,America,,2014-03,108
United States of America,America,,2014-03,11380
"Others, Asia",Asia,,2014-03,277
S. Africa,Africa,,2014-03,139
Vietnam,Asia,Southeast Asia,2014-03,634
Thailand,Asia,Southeast Asia,2014-03,1236
Philippines,Asia,Southeast Asia,2014-03,718
Indonesia,Asia,Southeast Asia,2014-03,766
"Others, Africa",Africa,,2014-03,204
"Others, America",America,,2014-03,178
"Others, Southeast Asia",Asia,Southeast Asia,2014-03,104
Belgium,Europe,,2014-03,242
United Kingdom,Europe,,2014-03,1847
Singapore,Asia,Southeast Asia,2014-03,4413
"Others, Oceania",Oceania,,2014-03,22
New Zealand,Oceania,,2014-03,272
Australia,Oceania,,2014-03,1253
"Others, Europe",Europe,,2014-03,1293
Russian Federation,Europe,,2014-03,296
Sweden,Europe,,2014-03,361
Greece,Europe,,2014-03,69
Austria,Europe,,2014-03,225
Spain,Europe,,2014-03,333
France,Europe,,2014-03,1137
Switzerland,Europe,,2014-03,341
Italy,Europe,,2014-03,956
Germany,Europe,,2014-03,2462
HongKong. Macao,Asia,,2014-03,7841
Mainland China,Asia,,2014-03,2114
Japan,Asia,,2014-03,25060
"Korea,Republic of",Asia,,2014-03,5698
India,Asia,,2014-03,1183
Middle East,Asia,,2014-03,872
Malaysia,Asia,Southeast Asia,2014-03,1987
Netherlands,Europe,,2014-03,813
Unstated,,,2014-03,2
Unstated,,,2014-04,5
"Others, Africa",Africa,,2014-04,327
Australia,Oceania,,2014-04,884
"Others, America",America,,2014-04,214
Belgium,Europe,,2014-04,141
France,Europe,,2014-04,850
Germany,Europe,,2014-04,1644
Italy,Europe,,2014-04,562
Netherlands,Europe,,2014-04,608
Argentina,America,,2014-04,18
Switzerland,Europe,,2014-04,237
United Kingdom,Europe,,2014-04,1149
Austria,Europe,,2014-04,165
Greece,Europe,,2014-04,47
Sweden,Europe,,2014-04,263
Russian Federation,Europe,,2014-04,276
"Others, Europe",Europe,,2014-04,813
Spain,Europe,,2014-04,193
New Zealand,Oceania,,2014-04,194
Brazil,America,,2014-04,157
United States of America,America,,2014-04,9234
Mainland China,Asia,,2014-04,1556
HongKong. Macao,Asia,,2014-04,6648
"Korea,Republic of",Asia,,2014-04,4921
India,Asia,,2014-04,965
Middle East,Asia,,2014-04,798
Malaysia,Asia,Southeast Asia,2014-04,1943
Mexico,America,,2014-04,77
Singapore,Asia,Southeast Asia,2014-04,3951
Philippines,Asia,Southeast Asia,2014-04,487
Thailand,Asia,Southeast Asia,2014-04,860
Vietnam,Asia,Southeast Asia,2014-04,550
"Others, Southeast Asia",Asia,Southeast Asia,2014-04,80
"Others, Asia",Asia,,2014-04,184
Canada,America,,2014-04,787
Indonesia,Asia,Southeast Asia,2014-04,550
"Others, Oceania",Oceania,,2014-04,17
Japan,Asia,,2014-04,22776
S. Africa,Africa,,2014-04,80
Japan,Asia,,2014-05,21233
France,Europe,,2014-05,806
Germany,Europe,,2014-05,1840
Italy,Europe,,2014-05,671
Netherlands,Europe,,2014-05,609
Australia,Oceania,,2014-05,935
Switzerland,Europe,,2014-05,250
Spain,Europe,,2014-05,217
United Kingdom,Europe,,2014-05,1274
Austria,Europe,,2014-05,246
Sweden,Europe,,2014-05,280
Russian Federation,Europe,,2014-05,193
S. Africa,Africa,,2014-05,80
"Others, Europe",Europe,,2014-05,809
New Zealand,Oceania,,2014-05,203
"Others, Oceania",Oceania,,2014-05,14
"Others, Africa",Africa,,2014-05,171
Greece,Europe,,2014-05,37
Belgium,Europe,,2014-05,144
"Others, America",America,,2014-05,110
Brazil,America,,2014-05,111
Unstated,,,2014-05,0
"Korea,Republic of",Asia,,2014-05,4482
India,Asia,,2014-05,804
Middle East,Asia,,2014-05,768
Malaysia,Asia,Southeast Asia,2014-05,1782
Singapore,Asia,Southeast Asia,2014-05,3895
Indonesia,Asia,Southeast Asia,2014-05,595
Mainland China,Asia,,2014-05,1709
HongKong. Macao,Asia,,2014-05,6670
Thailand,Asia,Southeast Asia,2014-05,828
Vietnam,Asia,Southeast Asia,2014-05,407
"Others, Southeast Asia",Asia,Southeast Asia,2014-05,72
"Others, Asia",Asia,,2014-05,160
Canada,America,,2014-05,745
United States of America,America,,2014-05,9200
Mexico,America,,2014-05,67
Philippines,Asia,Southeast Asia,2014-05,566
Argentina,America,,2014-05,23
United Kingdom,Europe,,2014-06,1407
Mainland China,Asia,,2014-06,1838
Sweden,Europe,,2014-06,255
Canada,America,,2014-06,763
United States of America,America,,2014-06,9670
Mexico,America,,2014-06,88
Brazil,America,,2014-06,111
Argentina,America,,2014-06,24
"Others, America",America,,2014-06,176
Belgium,Europe,,2014-06,175
France,Europe,,2014-06,1033
Germany,Europe,,2014-06,1755
Italy,Europe,,2014-06,665
Netherlands,Europe,,2014-06,572
Switzerland,Europe,,2014-06,286
Greece,Europe,,2014-06,49
Austria,Europe,,2014-06,174
Russian Federation,Europe,,2014-06,359
"Others, Europe",Europe,,2014-06,961
Australia,Oceania,,2014-06,963
New Zealand,Oceania,,2014-06,188
Japan,Asia,,2014-06,26023
"Korea,Republic of",Asia,,2014-06,5338
India,Asia,,2014-06,1104
Middle East,Asia,,2014-06,980
Malaysia,Asia,Southeast Asia,2014-06,2059
Singapore,Asia,Southeast Asia,2014-06,3965
Indonesia,Asia,Southeast Asia,2014-06,559
HongKong. Macao,Asia,,2014-06,7418
Philippines,Asia,Southeast Asia,2014-06,657
Spain,Europe,,2014-06,260
"Others, Southeast Asia",Asia,Southeast Asia,2014-06,76
"Others, Asia",Asia,,2014-06,231
Unstated,,,2014-06,5
"Others, Africa",Africa,,2014-06,199
S. Africa,Africa,,2014-06,97
"Others, Oceania",Oceania,,2014-06,21
Thailand,Asia,Southeast Asia,2014-06,1130
Vietnam,Asia,Southeast Asia,2014-06,418
Netherlands,Europe,,2014-07,368
Switzerland,Europe,,2014-07,193
Argentina,America,,2014-07,6
"Others, America",America,,2014-07,57
Belgium,Europe,,2014-07,112
France,Europe,,2014-07,740
Germany,Europe,,2014-07,1507
Italy,Europe,,2014-07,582
Spain,Europe,,2014-07,158
United Kingdom,Europe,,2014-07,1069
Austria,Europe,,2014-07,133
Greece,Europe,,2014-07,25
Sweden,Europe,,2014-07,117
Russian Federation,Europe,,2014-07,211
"Others, Europe",Europe,,2014-07,493
Australia,Oceania,,2014-07,831
New Zealand,Oceania,,2014-07,187
"Others, Oceania",Oceania,,2014-07,14
S. Africa,Africa,,2014-07,57
"Others, Africa",Africa,,2014-07,73
Unstated,,,2014-07,6
Mexico,America,,2014-07,46
United States of America,America,,2014-07,7237
Brazil,America,,2014-07,53
"Others, Asia",Asia,,2014-07,116
HongKong. Macao,Asia,,2014-07,5953
Mainland China,Asia,,2014-07,1576
Canada,America,,2014-07,639
"Korea,Republic of",Asia,,2014-07,4645
India,Asia,,2014-07,892
Middle East,Asia,,2014-07,482
Malaysia,Asia,Southeast Asia,2014-07,1536
Japan,Asia,,2014-07,23695
Indonesia,Asia,Southeast Asia,2014-07,329
Philippines,Asia,Southeast Asia,2014-07,504
Thailand,Asia,Southeast Asia,2014-07,711
Vietnam,Asia,Southeast Asia,2014-07,472
"Others, Southeast Asia",Asia,Southeast Asia,2014-07,89
Singapore,Asia,Southeast Asia,2014-07,3805
Malaysia,Asia,Southeast Asia,2014-08,1538
Thailand,Asia,Southeast Asia,2014-08,769
Philippines,Asia,Southeast Asia,2014-08,461
Indonesia,Asia,Southeast Asia,2014-08,435
Austria,Europe,,2014-08,122
HongKong. Macao,Asia,,2014-08,6564
India,Asia,,2014-08,905
Japan,Asia,,2014-08,19794
"Korea,Republic of",Asia,,2014-08,4227
Middle East,Asia,,2014-08,481
Vietnam,Asia,Southeast Asia,2014-08,400
Singapore,Asia,Southeast Asia,2014-08,3779
Mainland China,Asia,,2014-08,1508
"Others, Southeast Asia",Asia,Southeast Asia,2014-08,58
New Zealand,Oceania,,2014-08,163
Canada,America,,2014-08,504
United States of America,America,,2014-08,7776
Mexico,America,,2014-08,47
Brazil,America,,2014-08,78
Greece,Europe,,2014-08,15
Argentina,America,,2014-08,10
"Others, America",America,,2014-08,101
Belgium,Europe,,2014-08,116
France,Europe,,2014-08,410
Germany,Europe,,2014-08,1259
Italy,Europe,,2014-08,299
Netherlands,Europe,,2014-08,392
Switzerland,Europe,,2014-08,211
"Others, Asia",Asia,,2014-08,152
"Others, Oceania",Oceania,,2014-08,23
United Kingdom,Europe,,2014-08,962
Spain,Europe,,2014-08,89
Australia,Oceania,,2014-08,784
"Others, Europe",Europe,,2014-08,614
Russian Federation,Europe,,2014-08,154
Sweden,Europe,,2014-08,150
S. Africa,Africa,,2014-08,99
"Others, Africa",Africa,,2014-08,84
Unstated,,,2014-08,5
Vietnam,Asia,Southeast Asia,2014-09,547
"Others, Southeast Asia",Asia,Southeast Asia,2014-09,81
"Others, Asia",Asia,,2014-09,173
Canada,America,,2014-09,763
France,Europe,,2014-09,752
Mexico,America,,2014-09,96
Brazil,America,,2014-09,76
Thailand,Asia,Southeast Asia,2014-09,906
United States of America,America,,2014-09,9100
Philippines,Asia,Southeast Asia,2014-09,559
Middle East,Asia,,2014-09,722
Singapore,Asia,Southeast Asia,2014-09,3878
Malaysia,Asia,Southeast Asia,2014-09,1880
Argentina,America,,2014-09,18
India,Asia,,2014-09,1098
"Korea,Republic of",Asia,,2014-09,4861
Japan,Asia,,2014-09,23914
Mainland China,Asia,,2014-09,1330
HongKong. Macao,Asia,,2014-09,7071
Indonesia,Asia,Southeast Asia,2014-09,582
Belgium,Europe,,2014-09,144
Austria,Europe,,2014-09,165
"Others, Europe",Europe,,2014-09,801
New Zealand,Oceania,,2014-09,141
Australia,Oceania,,2014-09,854
"Others, Africa",Africa,,2014-09,211
Russian Federation,Europe,,2014-09,235
Sweden,Europe,,2014-09,275
Unstated,,,2014-09,8
"Others, Oceania",Oceania,,2014-09,18
Greece,Europe,,2014-09,50
United Kingdom,Europe,,2014-09,1265
Spain,Europe,,2014-09,150
Switzerland,Europe,,2014-09,276
Netherlands,Europe,,2014-09,497
Italy,Europe,,2014-09,561
Germany,Europe,,2014-09,1569
"Others, America",America,,2014-09,131
S. Africa,Africa,,2014-09,102
"Korea,Republic of",Asia,,2014-10,4959
Japan,Asia,,2014-10,23610
Mainland China,Asia,,2014-10,1562
"Others, Southeast Asia",Asia,Southeast Asia,2014-10,85
"Others, Oceania",Oceania,,2014-10,17
India,Asia,,2014-10,830
Unstated,,,2014-10,1
HongKong. Macao,Asia,,2014-10,7476
Middle East,Asia,,2014-10,665
Malaysia,Asia,Southeast Asia,2014-10,1770
Singapore,Asia,Southeast Asia,2014-10,3964
"Others, Asia",Asia,,2014-10,188
Canada,America,,2014-10,814
United States of America,America,,2014-10,10239
Mexico,America,,2014-10,94
Brazil,America,,2014-10,129
Argentina,America,,2014-10,38
"Others, America",America,,2014-10,142
Belgium,Europe,,2014-10,177
France,Europe,,2014-10,1003
Germany,Europe,,2014-10,2145
Thailand,Asia,Southeast Asia,2014-10,910
Vietnam,Asia,Southeast Asia,2014-10,499
Netherlands,Europe,,2014-10,623
Spain,Europe,,2014-10,241
United Kingdom,Europe,,2014-10,1459
Austria,Europe,,2014-10,215
Greece,Europe,,2014-10,46
Sweden,Europe,,2014-10,323
Russian Federation,Europe,,2014-10,258
Philippines,Asia,Southeast Asia,2014-10,525
Indonesia,Asia,Southeast Asia,2014-10,540
"Others, Europe",Europe,,2014-10,987
Australia,Oceania,,2014-10,963
New Zealand,Oceania,,2014-10,169
Switzerland,Europe,,2014-10,323
Italy,Europe,,2014-10,702
"Others, Africa",Africa,,2014-10,141
S. Africa,Africa,,2014-10,86
Belgium,Europe,,2014-11,231
Canada,America,,2014-11,993
"Others, Asia",Asia,,2014-11,202
"Others, Southeast Asia",Asia,Southeast Asia,2014-11,88
Vietnam,Asia,Southeast Asia,2014-11,554
Thailand,Asia,Southeast Asia,2014-11,916
Philippines,Asia,Southeast Asia,2014-11,596
Indonesia,Asia,Southeast Asia,2014-11,620
Singapore,Asia,Southeast Asia,2014-11,4213
Middle East,Asia,,2014-11,829
India,Asia,,2014-11,1168
"Korea,Republic of",Asia,,2014-11,5576
Japan,Asia,,2014-11,23863
Mainland China,Asia,,2014-11,1714
HongKong. Macao,Asia,,2014-11,7533
Unstated,,,2014-11,9
France,Europe,,2014-11,1225
United States of America,America,,2014-11,10032
Mexico,America,,2014-11,110
Malaysia,Asia,Southeast Asia,2014-11,1982
Argentina,America,,2014-11,18
Italy,Europe,,2014-11,957
Germany,Europe,,2014-11,2612
Brazil,America,,2014-11,104
Netherlands,Europe,,2014-11,765
Switzerland,Europe,,2014-11,446
Spain,Europe,,2014-11,333
Austria,Europe,,2014-11,259
Greece,Europe,,2014-11,47
Sweden,Europe,,2014-11,315
United Kingdom,Europe,,2014-11,1774
Russian Federation,Europe,,2014-11,400
"Others, America",America,,2014-11,134
"Others, Africa",Africa,,2014-11,160
S. Africa,Africa,,2014-11,104
"Others, Oceania",Oceania,,2014-11,14
Australia,Oceania,,2014-11,953
"Others, Europe",Europe,,2014-11,1130
New Zealand,Oceania,,2014-11,200
"Others, America",America,,2014-12,44
Belgium,Europe,,2014-12,130
France,Europe,,2014-12,612
Argentina,America,,2014-12,6
Germany,Europe,,2014-12,1174
Spain,Europe,,2014-12,121
Netherlands,Europe,,2014-12,412
Switzerland,Europe,,2014-12,182
United Kingdom,Europe,,2014-12,760
"Others, Oceania",Oceania,,2014-12,13
Greece,Europe,,2014-12,21
Sweden,Europe,,2014-12,152
Russian Federation,Europe,,2014-12,209
"Others, Europe",Europe,,2014-12,576
Australia,Oceania,,2014-12,627
New Zealand,Oceania,,2014-12,123
Unstated,,,2014-12,8
"Others, Africa",Africa,,2014-12,102
S. Africa,Africa,,2014-12,61
Brazil,America,,2014-12,38
Austria,Europe,,2014-12,108
Mexico,America,,2014-12,36
Italy,Europe,,2014-12,416
Canada,America,,2014-12,570
United States of America,America,,2014-12,7335
Mainland China,Asia,,2014-12,1335
Japan,Asia,,2014-12,22297
"Korea,Republic of",Asia,,2014-12,4554
India,Asia,,2014-12,832
Middle East,Asia,,2014-12,651
Malaysia,Asia,Southeast Asia,2014-12,1499
HongKong. Macao,Asia,,2014-12,6456
Indonesia,Asia,Southeast Asia,2014-12,431
Philippines,Asia,Southeast Asia,2014-12,458
Thailand,Asia,Southeast Asia,2014-12,622
Vietnam,Asia,Southeast Asia,2014-12,564
"Others, Southeast Asia",Asia,Southeast Asia,2014-12,74
Singapore,Asia,Southeast Asia,2014-12,2897
"Others, Asia",Asia,,2014-12,175
HongKong. Macao,Asia,,2015-01,7152
Belgium,Europe,,2015-01,145
France,Europe,,2015-01,790
Germany,Europe,,2015-01,1588
Italy,Europe,,2015-01,549
Switzerland,Europe,,2015-01,243
Netherlands,Europe,,2015-01,548
Spain,Europe,,2015-01,189
United Kingdom,Europe,,2015-01,1201
Austria,Europe,,2015-01,141
Mainland China,Asia,,2015-01,1345
Argentina,America,,2015-01,9
Japan,Asia,,2015-01,20314
Thailand,Asia,Southeast Asia,2015-01,707
India,Asia,,2015-01,787
Middle East,Asia,,2015-01,633
Malaysia,Asia,Southeast Asia,2015-01,1705
Singapore,Asia,Southeast Asia,2015-01,3907
Indonesia,Asia,Southeast Asia,2015-01,419
Philippines,Asia,Southeast Asia,2015-01,456
Sweden,Europe,,2015-01,244
Vietnam,Asia,Southeast Asia,2015-01,459
"Others, Southeast Asia",Asia,Southeast Asia,2015-01,66
"Others, Asia",Asia,,2015-01,145
Canada,America,,2015-01,730
United States of America,America,,2015-01,8724
Mexico,America,,2015-01,50
Brazil,America,,2015-01,44
"Korea,Republic of",Asia,,2015-01,4773
Russian Federation,Europe,,2015-01,140
Greece,Europe,,2015-01,38
Australia,Oceania,,2015-01,696
"Others, Europe",Europe,,2015-01,784
Unstated,,,2015-01,4
"Others, Africa",Africa,,2015-01,86
"Others, America",America,,2015-01,75
"Others, Oceania",Oceania,,2015-01,8
New Zealand,Oceania,,2015-01,113
S. Africa,Africa,,2015-01,40
Russian Federation,Europe,,2015-02,86
"Others, Europe",Europe,,2015-02,549
Australia,Oceania,,2015-02,486
New Zealand,Oceania,,2015-02,132
"Others, Oceania",Oceania,,2015-02,5
S. Africa,Africa,,2015-02,49
Sweden,Europe,,2015-02,137
Greece,Europe,,2015-02,24
Austria,Europe,,2015-02,101
United Kingdom,Europe,,2015-02,759
Switzerland,Europe,,2015-02,168
Netherlands,Europe,,2015-02,408
Germany,Europe,,2015-02,1065
France,Europe,,2015-02,468
Belgium,Europe,,2015-02,100
"Others, America",America,,2015-02,47
Argentina,America,,2015-02,6
Brazil,America,,2015-02,58
Mexico,America,,2015-02,52
"Others, Africa",Africa,,2015-02,80
Unstated,,,2015-02,4
Spain,Europe,,2015-02,110
Italy,Europe,,2015-02,364
Philippines,Asia,Southeast Asia,2015-02,354
Canada,America,,2015-02,450
HongKong. Macao,Asia,,2015-02,5234
Mainland China,Asia,,2015-02,861
"Korea,Republic of",Asia,,2015-02,3571
India,Asia,,2015-02,586
Middle East,Asia,,2015-02,452
Malaysia,Asia,Southeast Asia,2015-02,942
Japan,Asia,,2015-02,15829
Indonesia,Asia,Southeast Asia,2015-02,292
Thailand,Asia,Southeast Asia,2015-02,537
Vietnam,Asia,Southeast Asia,2015-02,265
"Others, Southeast Asia",Asia,Southeast Asia,2015-02,53
"Others, Asia",Asia,,2015-02,120
Singapore,Asia,Southeast Asia,2015-02,2273
United States of America,America,,2015-02,5772
New Zealand,Oceania,,2015-03,215
Japan,Asia,,2015-03,27702
Mainland China,Asia,,2015-03,1648
HongKong. Macao,Asia,,2015-03,8864
Unstated,,,2015-03,11
"Others, Africa",Africa,,2015-03,184
S. Africa,Africa,,2015-03,195
"Others, Oceania",Oceania,,2015-03,20
Greece,Europe,,2015-03,59
Switzerland,Europe,,2015-03,425
Spain,Europe,,2015-03,448
United Kingdom,Europe,,2015-03,1840
"Others, Europe",Europe,,2015-03,1396
Austria,Europe,,2015-03,221
"Korea,Republic of",Asia,,2015-03,6492
Sweden,Europe,,2015-03,358
Russian Federation,Europe,,2015-03,380
Australia,Oceania,,2015-03,1226
India,Asia,,2015-03,1435
Middle East,Asia,,2015-03,1147
Malaysia,Asia,Southeast Asia,2015-03,2134
Italy,Europe,,2015-03,1017
Netherlands,Europe,,2015-03,909
Belgium,Europe,,2015-03,228
"Others, America",America,,2015-03,205
Argentina,America,,2015-03,38
Germany,Europe,,2015-03,2873
Mexico,America,,2015-03,121
United States of America,America,,2015-03,11990
Brazil,America,,2015-03,195
"Others, Asia",Asia,,2015-03,312
"Others, Southeast Asia",Asia,Southeast Asia,2015-03,134
Vietnam,Asia,Southeast Asia,2015-03,674
Thailand,Asia,Southeast Asia,2015-03,1333
Philippines,Asia,Southeast Asia,2015-03,781
Indonesia,Asia,Southeast Asia,2015-03,681
Singapore,Asia,Southeast Asia,2015-03,4776
Canada,America,,2015-03,1033
France,Europe,,2015-03,1241
"Others, Asia",Asia,,2015-04,214
"Others, Southeast Asia",Asia,Southeast Asia,2015-04,71
Vietnam,Asia,Southeast Asia,2015-04,514
Thailand,Asia,Southeast Asia,2015-04,849
"Korea,Republic of",Asia,,2015-04,4840
Indonesia,Asia,Southeast Asia,2015-04,414
Singapore,Asia,Southeast Asia,2015-04,3984
Malaysia,Asia,Southeast Asia,2015-04,1840
Middle East,Asia,,2015-04,876
India,Asia,,2015-04,978
Canada,America,,2015-04,739
Japan,Asia,,2015-04,20929
Philippines,Asia,Southeast Asia,2015-04,508
United States of America,America,,2015-04,8926
"Others, Europe",Europe,,2015-04,787
Brazil,America,,2015-04,98
Unstated,,,2015-04,5
"Others, Africa",Africa,,2015-04,220
S. Africa,Africa,,2015-04,101
"Others, Oceania",Oceania,,2015-04,18
New Zealand,Oceania,,2015-04,150
Australia,Oceania,,2015-04,814
Russian Federation,Europe,,2015-04,171
Sweden,Europe,,2015-04,268
Greece,Europe,,2015-04,27
Austria,Europe,,2015-04,183
United Kingdom,Europe,,2015-04,1120
Spain,Europe,,2015-04,224
Switzerland,Europe,,2015-04,260
Netherlands,Europe,,2015-04,512
Italy,Europe,,2015-04,599
Germany,Europe,,2015-04,1538
France,Europe,,2015-04,867
Belgium,Europe,,2015-04,147
"Others, America",America,,2015-04,169
Mexico,America,,2015-04,87
Argentina,America,,2015-04,20
HongKong. Macao,Asia,,2015-04,7094
Mainland China,Asia,,2015-04,1377
Argentina,America,,2015-05,34
Germany,Europe,,2015-05,1614
Italy,Europe,,2015-05,677
Netherlands,Europe,,2015-05,477
Switzerland,Europe,,2015-05,237
Spain,Europe,,2015-05,225
United Kingdom,Europe,,2015-05,1194
France,Europe,,2015-05,768
Austria,Europe,,2015-05,169
Sweden,Europe,,2015-05,235
Russian Federation,Europe,,2015-05,192
"Others, Europe",Europe,,2015-05,855
Australia,Oceania,,2015-05,818
New Zealand,Oceania,,2015-05,174
"Others, Oceania",Oceania,,2015-05,8
S. Africa,Africa,,2015-05,92
Greece,Europe,,2015-05,33
"Others, Africa",Africa,,2015-05,174
Belgium,Europe,,2015-05,162
Brazil,America,,2015-05,102
Mainland China,Asia,,2015-05,1565
Japan,Asia,,2015-05,20022
"Korea,Republic of",Asia,,2015-05,4650
India,Asia,,2015-05,981
Middle East,Asia,,2015-05,805
Malaysia,Asia,Southeast Asia,2015-05,1717
Singapore,Asia,Southeast Asia,2015-05,4043
"Others, America",America,,2015-05,147
Indonesia,Asia,Southeast Asia,2015-05,476
Thailand,Asia,Southeast Asia,2015-05,833
Vietnam,Asia,Southeast Asia,2015-05,434
"Others, Southeast Asia",Asia,Southeast Asia,2015-05,81
"Others, Asia",Asia,,2015-05,191
Canada,America,,2015-05,718
United States of America,America,,2015-05,9159
Mexico,America,,2015-05,77
Philippines,Asia,Southeast Asia,2015-05,503
HongKong. Macao,Asia,,2015-05,7327
Unstated,,,2015-05,3
"Korea,Republic of",Asia,,2015-06,4520
Italy,Europe,,2015-06,631
Netherlands,Europe,,2015-06,679
Switzerland,Europe,,2015-06,273
Spain,Europe,,2015-06,251
United Kingdom,Europe,,2015-06,1144
Austria,Europe,,2015-06,163
Greece,Europe,,2015-06,51
Germany,Europe,,2015-06,1843
Sweden,Europe,,2015-06,244
"Others, Europe",Europe,,2015-06,866
Australia,Oceania,,2015-06,895
New Zealand,Oceania,,2015-06,187
"Others, Oceania",Oceania,,2015-06,25
S. Africa,Africa,,2015-06,93
"Others, Africa",Africa,,2015-06,183
Unstated,,,2015-06,3
Russian Federation,Europe,,2015-06,296
Japan,Asia,,2015-06,25541
Mainland China,Asia,,2015-06,1580
Belgium,Europe,,2015-06,178
India,Asia,,2015-06,1173
Middle East,Asia,,2015-06,943
Malaysia,Asia,Southeast Asia,2015-06,1932
Singapore,Asia,Southeast Asia,2015-06,4242
Indonesia,Asia,Southeast Asia,2015-06,592
Philippines,Asia,Southeast Asia,2015-06,725
Thailand,Asia,Southeast Asia,2015-06,977
France,Europe,,2015-06,968
Vietnam,Asia,Southeast Asia,2015-06,623
"Others, Asia",Asia,,2015-06,222
Canada,America,,2015-06,702
United States of America,America,,2015-06,8529
Mexico,America,,2015-06,67
Brazil,America,,2015-06,160
Argentina,America,,2015-06,31
"Others, America",America,,2015-06,159
"Others, Southeast Asia",Asia,Southeast Asia,2015-06,131
HongKong. Macao,Asia,,2015-06,8164
HongKong. Macao,Asia,,2015-07,7130
Unstated,,,2015-07,4
United States of America,America,,2015-07,7306
Canada,America,,2015-07,553
"Others, Asia",Asia,,2015-07,111
"Others, Southeast Asia",Asia,Southeast Asia,2015-07,73
Vietnam,Asia,Southeast Asia,2015-07,459
Thailand,Asia,Southeast Asia,2015-07,797
Philippines,Asia,Southeast Asia,2015-07,538
Indonesia,Asia,Southeast Asia,2015-07,352
Singapore,Asia,Southeast Asia,2015-07,3910
Malaysia,Asia,Southeast Asia,2015-07,1572
Middle East,Asia,,2015-07,498
India,Asia,,2015-07,910
"Korea,Republic of",Asia,,2015-07,4578
Japan,Asia,,2015-07,22950
Mainland China,Asia,,2015-07,1270
Mexico,America,,2015-07,74
Brazil,America,,2015-07,63
Argentina,America,,2015-07,16
Greece,Europe,,2015-07,36
"Others, Africa",Africa,,2015-07,126
S. Africa,Africa,,2015-07,80
"Others, Oceania",Oceania,,2015-07,14
New Zealand,Oceania,,2015-07,121
Australia,Oceania,,2015-07,732
"Others, Europe",Europe,,2015-07,463
Russian Federation,Europe,,2015-07,150
Sweden,Europe,,2015-07,81
Spain,Europe,,2015-07,208
Austria,Europe,,2015-07,130
United Kingdom,Europe,,2015-07,927
Switzerland,Europe,,2015-07,209
Netherlands,Europe,,2015-07,385
Italy,Europe,,2015-07,510
Germany,Europe,,2015-07,1433
France,Europe,,2015-07,690
Belgium,Europe,,2015-07,133
"Others, America",America,,2015-07,73
"Others, Europe",Europe,,2015-08,563
Australia,Oceania,,2015-08,731
"Others, Africa",Africa,,2015-08,101
Philippines,Asia,Southeast Asia,2015-08,559
Indonesia,Asia,Southeast Asia,2015-08,423
Singapore,Asia,Southeast Asia,2015-08,3863
Malaysia,Asia,Southeast Asia,2015-08,1580
Middle East,Asia,,2015-08,620
India,Asia,,2015-08,1008
"Korea,Republic of",Asia,,2015-08,4617
Japan,Asia,,2015-08,20371
Mainland China,Asia,,2015-08,1486
HongKong. Macao,Asia,,2015-08,7100
Sweden,Europe,,2015-08,154
Russian Federation,Europe,,2015-08,134
Unstated,,,2015-08,5
S. Africa,Africa,,2015-08,78
"Others, Oceania",Oceania,,2015-08,8
Thailand,Asia,Southeast Asia,2015-08,895
Vietnam,Asia,Southeast Asia,2015-08,464
"Others, Southeast Asia",Asia,Southeast Asia,2015-08,76
"Others, Asia",Asia,,2015-08,130
United Kingdom,Europe,,2015-08,900
Austria,Europe,,2015-08,147
Greece,Europe,,2015-08,21
Spain,Europe,,2015-08,117
Switzerland,Europe,,2015-08,194
Netherlands,Europe,,2015-08,408
Italy,Europe,,2015-08,264
New Zealand,Oceania,,2015-08,120
Germany,Europe,,2015-08,1353
Belgium,Europe,,2015-08,133
"Others, America",America,,2015-08,86
Argentina,America,,2015-08,13
Brazil,America,,2015-08,51
Mexico,America,,2015-08,61
United States of America,America,,2015-08,8307
Canada,America,,2015-08,523
France,Europe,,2015-08,462
HongKong. Macao,Asia,,2015-09,7053
Unstated,,,2015-09,3
Japan,Asia,,2015-09,21746
Germany,Europe,,2015-09,1555
Italy,Europe,,2015-09,496
Mainland China,Asia,,2015-09,1260
Switzerland,Europe,,2015-09,264
Spain,Europe,,2015-09,166
United Kingdom,Europe,,2015-09,1167
Austria,Europe,,2015-09,187
France,Europe,,2015-09,737
Greece,Europe,,2015-09,32
Russian Federation,Europe,,2015-09,146
"Others, Europe",Europe,,2015-09,726
Australia,Oceania,,2015-09,764
New Zealand,Oceania,,2015-09,135
"Others, Oceania",Oceania,,2015-09,9
S. Africa,Africa,,2015-09,59
"Others, Africa",Africa,,2015-09,119
Sweden,Europe,,2015-09,260
Belgium,Europe,,2015-09,180
Netherlands,Europe,,2015-09,564
Argentina,America,,2015-09,17
"Korea,Republic of",Asia,,2015-09,5042
India,Asia,,2015-09,857
Middle East,Asia,,2015-09,461
"Others, America",America,,2015-09,97
Malaysia,Asia,Southeast Asia,2015-09,1606
Singapore,Asia,Southeast Asia,2015-09,3696
Philippines,Asia,Southeast Asia,2015-09,514
Indonesia,Asia,Southeast Asia,2015-09,423
Vietnam,Asia,Southeast Asia,2015-09,519
"Others, Southeast Asia",Asia,Southeast Asia,2015-09,83
"Others, Asia",Asia,,2015-09,173
