Residence,Region,Sub-Region,Period,Business
Thailand,Asia,Southeast Asia,2011-08,1879
Philippines,Asia,Southeast Asia,2011-08,1642
Indonesia,Asia,Southeast Asia,2011-08,1162
S. Africa,Africa,,2011-08,221
Malaysia,Asia,Southeast Asia,2011-08,1774
Middle East,Asia,,2011-08,523
India,Asia,,2011-08,1078
"Korea,Republic of",Asia,,2011-08,4604
Japan,Asia,,2011-08,23644
Mainland China,Asia,,2011-08,9643
HongKong. Macao,Asia,,2011-08,6043
Mexico,America,,2011-08,53
Brazil,America,,2011-08,116
Singapore,Asia,Southeast Asia,2011-08,3965
"Others, America",America,,2011-08,126
Argentina,America,,2011-08,15
Unstated,,,2011-08,1
"Others, Oceania",Oceania,,2011-08,17
New Zealand,Oceania,,2011-08,178
Australia,Oceania,,2011-08,1011
"Others, Europe",Europe,,2011-08,608
Sweden,Europe,,2011-08,204
Greece,Europe,,2011-08,32
Russian Federation,Europe,,2011-08,169
France,Europe,,2011-08,640
United Kingdom,Europe,,2011-08,1265
Spain,Europe,,2011-08,96
Switzerland,Europe,,2011-08,218
Netherlands,Europe,,2011-08,432
Italy,Europe,,2011-08,368
Germany,Europe,,2011-08,1646
Austria,Europe,,2011-08,143
Belgium,Europe,,2011-08,131
"Others, Asia",Asia,,2011-09,220
Canada,America,,2011-09,1018
United States of America,America,,2011-09,10314
"Others, America",America,,2011-09,132
Brazil,America,,2011-09,112
Argentina,America,,2011-09,22
"Others, Southeast Asia",Asia,Southeast Asia,2011-09,904
Mexico,America,,2011-09,64
Thailand,Asia,Southeast Asia,2011-09,1727
Mainland China,Asia,,2011-09,11162
Indonesia,Asia,Southeast Asia,2011-09,1798
Singapore,Asia,Southeast Asia,2011-09,3872
Malaysia,Asia,Southeast Asia,2011-09,1934
Middle East,Asia,,2011-09,595
India,Asia,,2011-09,1068
"Korea,Republic of",Asia,,2011-09,4763
Japan,Asia,,2011-09,25324
Belgium,Europe,,2011-09,161
Philippines,Asia,Southeast Asia,2011-09,1396
France,Europe,,2011-09,891
HongKong. Macao,Asia,,2011-09,5462
Italy,Europe,,2011-09,512
Unstated,,,2011-09,2
"Others, Africa",Africa,,2011-09,110
S. Africa,Africa,,2011-09,136
"Others, Oceania",Oceania,,2011-09,15
New Zealand,Oceania,,2011-09,220
Australia,Oceania,,2011-09,1029
"Others, Europe",Europe,,2011-09,795
Germany,Europe,,2011-09,1834
Sweden,Europe,,2011-09,314
Greece,Europe,,2011-09,55
Austria,Europe,,2011-09,183
United Kingdom,Europe,,2011-09,1423
Spain,Europe,,2011-09,160
Switzerland,Europe,,2011-09,231
Netherlands,Europe,,2011-09,507
Russian Federation,Europe,,2011-09,204
Brazil,America,,2011-10,223
Mexico,America,,2011-10,92
United States of America,America,,2011-10,12224
Canada,America,,2011-10,1175
"Others, Asia",Asia,,2011-10,299
"Others, Southeast Asia",Asia,Southeast Asia,2011-10,976
Thailand,Asia,Southeast Asia,2011-10,1716
Singapore,Asia,Southeast Asia,2011-10,4021
Indonesia,Asia,Southeast Asia,2011-10,1531
Argentina,America,,2011-10,41
Malaysia,Asia,Southeast Asia,2011-10,2061
Middle East,Asia,,2011-10,809
India,Asia,,2011-10,1054
"Korea,Republic of",Asia,,2011-10,5039
