Residence,Region,Sub-Region,Period,Exhibition
Philippines,Asia,Southeast Asia,2011-09,0
France,Europe,,2011-09,0
HongKong. Macao,Asia,,2011-09,0
Italy,Europe,,2011-09,0
Unstated,,,2011-09,0
"Others, Africa",Africa,,2011-09,0
S. Africa,Africa,,2011-09,0
"Others, Oceania",Oceania,,2011-09,0
New Zealand,Oceania,,2011-09,0
Australia,Oceania,,2011-09,0
"Others, Europe",Europe,,2011-09,0
Germany,Europe,,2011-09,0
Sweden,Europe,,2011-09,0
Greece,Europe,,2011-09,0
Austria,Europe,,2011-09,0
United Kingdom,Europe,,2011-09,0
Spain,Europe,,2011-09,0
Switzerland,Europe,,2011-09,0
Netherlands,Europe,,2011-09,0
Russian Federation,Europe,,2011-09,0
Brazil,America,,2011-10,0
Mexico,America,,2011-10,0
United States of America,America,,2011-10,0
Canada,America,,2011-10,0
"Others, Asia",Asia,,2011-10,0
"Others, Southeast Asia",Asia,Southeast Asia,2011-10,0
Thailand,Asia,Southeast Asia,2011-10,0
Singapore,Asia,Southeast Asia,2011-10,0
Indonesia,Asia,Southeast Asia,2011-10,0
Argentina,America,,2011-10,0
Malaysia,Asia,Southeast Asia,2011-10,0
Middle East,Asia,,2011-10,0
India,Asia,,2011-10,0
"Korea,Republic of",Asia,,2011-10,0
Japan,Asia,,2011-10,0
Philippines,Asia,Southeast Asia,2011-10,0
"Others, America",America,,2011-10,0
Italy,Europe,,2011-10,0
France,Europe,,2011-10,0
Unstated,,,2011-10,0
"Others, Africa",Africa,,2011-10,0
S. Africa,Africa,,2011-10,0
"Others, Oceania",Oceania,,2011-10,0
New Zealand,Oceania,,2011-10,0
Australia,Oceania,,2011-10,0
"Others, Europe",Europe,,2011-10,0
Belgium,Europe,,2011-10,0
Russian Federation,Europe,,2011-10,0
Greece,Europe,,2011-10,0
Mainland China,Asia,,2011-10,0
United Kingdom,Europe,,2011-10,0
Spain,Europe,,2011-10,0
Switzerland,Europe,,2011-10,0
Netherlands,Europe,,2011-10,0
Germany,Europe,,2011-10,0
Sweden,Europe,,2011-10,0
Austria,Europe,,2011-10,0
HongKong. Macao,Asia,,2011-10,0
"Others, Southeast Asia",Asia,Southeast Asia,2011-11,0
Argentina,America,,2011-11,0
Mexico,America,,2011-11,0
United States of America,America,,2011-11,0
Canada,America,,2011-11,0
"Others, Asia",Asia,,2011-11,0
Thailand,Asia,Southeast Asia,2011-11,0
Philippines,Asia,Southeast Asia,2011-11,0
"Others, America",America,,2011-11,0
Indonesia,Asia,Southeast Asia,2011-11,0
Malaysia,Asia,Southeast Asia,2011-11,0
Middle East,Asia,,2011-11,0
India,Asia,,2011-11,0
"Korea,Republic of",Asia,,2011-11,0
Japan,Asia,,2011-11,0
Mainland China,Asia,,2011-11,0
HongKong. Macao,Asia,,2011-11,0
Singapore,Asia,Southeast Asia,2011-11,0
Belgium,Europe,,2011-11,0
Brazil,America,,2011-11,0
Germany,Europe,,2011-11,0
Unstated,,,2011-11,0
"Others, Africa",Africa,,2011-11,0
S. Africa,Africa,,2011-11,0
"Others, Oceania",Oceania,,2011-11,0
New Zealand,Oceania,,2011-11,0
France,Europe,,2011-11,0
"Others, Europe",Europe,,2011-11,0
Russian Federation,Europe,,2011-11,0
Sweden,Europe,,2011-11,0
Australia,Oceania,,2011-11,0
Austria,Europe,,2011-11,0
United Kingdom,Europe,,2011-11,0
Spain,Europe,,2011-11,0
Switzerland,Europe,,2011-11,0
Netherlands,Europe,,2011-11,0
Italy,Europe,,2011-11,0
Greece,Europe,,2011-11,0
Mexico,America,,2011-12,0
Philippines,Asia,Southeast Asia,2011-12,0
Brazil,America,,2011-12,0
United States of America,America,,2011-12,0
Canada,America,,2011-12,0
"Others, Asia",Asia,,2011-12,0
"Others, Southeast Asia",Asia,Southeast Asia,2011-12,0
Thailand,Asia,Southeast Asia,2011-12,0
Indonesia,Asia,Southeast Asia,2011-12,0
Greece,Europe,,2011-12,0
Malaysia,Asia,Southeast Asia,2011-12,0
Middle East,Asia,,2011-12,0
India,Asia,,2011-12,0
"Korea,Republic of",Asia,,2011-12,0
Japan,Asia,,2011-12,0
HongKong. Macao,Asia,,2011-12,0
Argentina,America,,2011-12,0
Mainland China,Asia,,2011-12,0
Singapore,Asia,Southeast Asia,2011-12,0
"Others, America",America,,2011-12,0
Sweden,Europe,,2011-12,0
France,Europe,,2011-12,0
Unstated,,,2011-12,0
Belgium,Europe,,2011-12,0
S. Africa,Africa,,2011-12,0
"Others, Oceania",Oceania,,2011-12,0
New Zealand,Oceania,,2011-12,0
Australia,Oceania,,2011-12,0
"Others, Europe",Europe,,2011-12,0
Russian Federation,Europe,,2011-12,0
"Others, Africa",Africa,,2011-12,0
Austria,Europe,,2011-12,0
United Kingdom,Europe,,2011-12,0
Spain,Europe,,2011-12,0
Switzerland,Europe,,2011-12,0
Netherlands,Europe,,2011-12,0
Italy,Europe,,2011-12,0
Germany,Europe,,2011-12,0
S. Africa,Africa,,2012-01,0
Canada,America,,2012-01,2
"Others, Asia",Asia,,2012-01,1
"Others, Southeast Asia",Asia,Southeast Asia,2012-01,0
Vietnam,Asia,Southeast Asia,2012-01,1
Thailand,Asia,Southeast Asia,2012-01,13
Philippines,Asia,Southeast Asia,2012-01,3
Indonesia,Asia,Southeast Asia,2012-01,6
Singapore,Asia,Southeast Asia,2012-01,9
"Korea,Republic of",Asia,,2012-01,52
Middle East,Asia,,2012-01,0
India,Asia,,2012-01,1
United States of America,America,,2012-01,12
Japan,Asia,,2012-01,29
Mainland China,Asia,,2012-01,18
HongKong. Macao,Asia,,2012-01,7
"Others, Africa",Africa,,2012-01,0
Unstated,,,2012-01,0
Malaysia,Asia,Southeast Asia,2012-01,23
Mexico,America,,2012-01,0
"Others, Oceania",Oceania,,2012-01,0
Argentina,America,,2012-01,0
Austria,Europe,,2012-01,2
Greece,Europe,,2012-01,0
Sweden,Europe,,2012-01,1
Russian Federation,Europe,,2012-01,0
"Others, Europe",Europe,,2012-01,5
Australia,Oceania,,2012-01,4
Brazil,America,,2012-01,0
United Kingdom,Europe,,2012-01,8
Spain,Europe,,2012-01,0
"Others, America",America,,2012-01,1
Belgium,Europe,,2012-01,2
France,Europe,,2012-01,26
Germany,Europe,,2012-01,11
Italy,Europe,,2012-01,0
Netherlands,Europe,,2012-01,0
Switzerland,Europe,,2012-01,0
New Zealand,Oceania,,2012-01,1
Mainland China,Asia,,2012-02,18
France,Europe,,2012-02,5
Germany,Europe,,2012-02,8
Italy,Europe,,2012-02,7
United Kingdom,Europe,,2012-02,7
Switzerland,Europe,,2012-02,1
Spain,Europe,,2012-02,2
Belgium,Europe,,2012-02,0
Netherlands,Europe,,2012-02,4
"Others, America",America,,2012-02,1
Argentina,America,,2012-02,0
Brazil,America,,2012-02,1
Japan,Asia,,2012-02,48
"Korea,Republic of",Asia,,2012-02,48
India,Asia,,2012-02,6
Middle East,Asia,,2012-02,5
Malaysia,Asia,Southeast Asia,2012-02,111
Singapore,Asia,Southeast Asia,2012-02,32
HongKong. Macao,Asia,,2012-02,7
Indonesia,Asia,Southeast Asia,2012-02,12
Thailand,Asia,Southeast Asia,2012-02,37
Vietnam,Asia,Southeast Asia,2012-02,10
"Others, Southeast Asia",Asia,Southeast Asia,2012-02,0
Canada,America,,2012-02,7
United States of America,America,,2012-02,18
Mexico,America,,2012-02,1
Philippines,Asia,Southeast Asia,2012-02,25
"Others, Asia",Asia,,2012-02,2
Austria,Europe,,2012-02,0
"Others, Europe",Europe,,2012-02,14
Sweden,Europe,,2012-02,1
Russian Federation,Europe,,2012-02,8
Australia,Oceania,,2012-02,17
New Zealand,Oceania,,2012-02,0
"Others, Oceania",Oceania,,2012-02,0
