Residence,Region,Sub-Region,Period,Study
Belgium,Europe,,2011-06,1
"Others, America",America,,2011-06,74
Brazil,America,,2011-06,5
Unstated,,,2011-06,0
"Others, Europe",Europe,,2011-07,120
Mainland China,Asia,,2011-07,889
"Others, America",America,,2011-07,73
Argentina,America,,2011-07,8
Brazil,America,,2011-07,4
Mexico,America,,2011-07,11
United States of America,America,,2011-07,638
Canada,America,,2011-07,64
Belgium,Europe,,2011-07,19
HongKong. Macao,Asia,,2011-07,195
Thailand,Asia,Southeast Asia,2011-07,158
Philippines,Asia,Southeast Asia,2011-07,36
Indonesia,Asia,Southeast Asia,2011-07,156
Singapore,Asia,Southeast Asia,2011-07,49
Malaysia,Asia,Southeast Asia,2011-07,431
Middle East,Asia,,2011-07,18
"Others, Southeast Asia",Asia,Southeast Asia,2011-07,334
India,Asia,,2011-07,38
France,Europe,,2011-07,128
Italy,Europe,,2011-07,43
Unstated,,,2011-07,0
"Others, Africa",Africa,,2011-07,23
S. Africa,Africa,,2011-07,5
"Others, Oceania",Oceania,,2011-07,7
New Zealand,Oceania,,2011-07,2
Australia,Oceania,,2011-07,47
Germany,Europe,,2011-07,101
Russian Federation,Europe,,2011-07,54
Greece,Europe,,2011-07,3
Austria,Europe,,2011-07,20
United Kingdom,Europe,,2011-07,26
Spain,Europe,,2011-07,31
Switzerland,Europe,,2011-07,11
Netherlands,Europe,,2011-07,24
Sweden,Europe,,2011-07,15
"Korea,Republic of",Asia,,2011-07,404
"Others, Asia",Asia,,2011-07,40
Japan,Asia,,2011-07,409
"Others, Africa",Africa,,2011-08,139
United States of America,America,,2011-08,589
Canada,America,,2011-08,83
"Others, Asia",Asia,,2011-08,152
"Others, Southeast Asia",Asia,Southeast Asia,2011-08,548
Thailand,Asia,Southeast Asia,2011-08,242
Philippines,Asia,Southeast Asia,2011-08,83
Indonesia,Asia,Southeast Asia,2011-08,456
S. Africa,Africa,,2011-08,7
Malaysia,Asia,Southeast Asia,2011-08,1144
Middle East,Asia,,2011-08,45
India,Asia,,2011-08,49
"Korea,Republic of",Asia,,2011-08,429
Japan,Asia,,2011-08,841
Mainland China,Asia,,2011-08,752
HongKong. Macao,Asia,,2011-08,517
Mexico,America,,2011-08,40
Brazil,America,,2011-08,51
Singapore,Asia,Southeast Asia,2011-08,119
"Others, America",America,,2011-08,449
Argentina,America,,2011-08,5
Unstated,,,2011-08,4
"Others, Oceania",Oceania,,2011-08,38
New Zealand,Oceania,,2011-08,14
Australia,Oceania,,2011-08,38
"Others, Europe",Europe,,2011-08,181
Sweden,Europe,,2011-08,50
Greece,Europe,,2011-08,1
Russian Federation,Europe,,2011-08,67
France,Europe,,2011-08,181
United Kingdom,Europe,,2011-08,48
Spain,Europe,,2011-08,37
Switzerland,Europe,,2011-08,17
Netherlands,Europe,,2011-08,35
Italy,Europe,,2011-08,41
Germany,Europe,,2011-08,176
Austria,Europe,,2011-08,32
Belgium,Europe,,2011-08,19
"Others, Asia",Asia,,2011-09,348
Canada,America,,2011-09,61
United States of America,America,,2011-09,390
"Others, America",America,,2011-09,353
Brazil,America,,2011-09,12
Argentina,America,,2011-09,3
"Others, Southeast Asia",Asia,Southeast Asia,2011-09,1067
Mexico,America,,2011-09,12
Thailand,Asia,Southeast Asia,2011-09,250
Mainland China,Asia,,2011-09,3799
Indonesia,Asia,Southeast Asia,2011-09,763
Singapore,Asia,Southeast Asia,2011-09,182
Malaysia,Asia,Southeast Asia,2011-09,3470
Middle East,Asia,,2011-09,94
India,Asia,,2011-09,141
"Korea,Republic of",Asia,,2011-09,557
Japan,Asia,,2011-09,634
Belgium,Europe,,2011-09,12
Philippines,Asia,Southeast Asia,2011-09,111
France,Europe,,2011-09,254
HongKong. Macao,Asia,,2011-09,902
Italy,Europe,,2011-09,33
Unstated,,,2011-09,0
"Others, Africa",Africa,,2011-09,149
S. Africa,Africa,,2011-09,10
"Others, Oceania",Oceania,,2011-09,19
New Zealand,Oceania,,2011-09,3
Australia,Oceania,,2011-09,33
"Others, Europe",Europe,,2011-09,200
Germany,Europe,,2011-09,144
Sweden,Europe,,2011-09,51
Greece,Europe,,2011-09,0
Austria,Europe,,2011-09,20
United Kingdom,Europe,,2011-09,30
Spain,Europe,,2011-09,33
Switzerland,Europe,,2011-09,21
Netherlands,Europe,,2011-09,46
