Residence,Region,Sub-Region,Period,Pleasure
Netherlands,Europe,,2011-07,551
Sweden,Europe,,2011-07,167
"Korea,Republic of",Asia,,2011-07,9307
"Others, Asia",Asia,,2011-07,97
Japan,Asia,,2011-07,61458
"Others, Africa",Africa,,2011-08,37
United States of America,America,,2011-08,6424
Canada,America,,2011-08,2075
"Others, Asia",Asia,,2011-08,90
"Others, Southeast Asia",Asia,Southeast Asia,2011-08,532
Thailand,Asia,Southeast Asia,2011-08,1079
Philippines,Asia,Southeast Asia,2011-08,995
Indonesia,Asia,Southeast Asia,2011-08,6179
S. Africa,Africa,,2011-08,47
Malaysia,Asia,Southeast Asia,2011-08,16430
Middle East,Asia,,2011-08,97
India,Asia,,2011-08,82
"Korea,Republic of",Asia,,2011-08,12446
Japan,Asia,,2011-08,84212
Mainland China,Asia,,2011-08,95529
HongKong. Macao,Asia,,2011-08,56468
Mexico,America,,2011-08,29
Brazil,America,,2011-08,43
Singapore,Asia,Southeast Asia,2011-08,9900
"Others, America",America,,2011-08,86
Argentina,America,,2011-08,7
Unstated,,,2011-08,3
"Others, Oceania",Oceania,,2011-08,34
New Zealand,Oceania,,2011-08,164
Australia,Oceania,,2011-08,1254
"Others, Europe",Europe,,2011-08,834
Sweden,Europe,,2011-08,85
Greece,Europe,,2011-08,4
Russian Federation,Europe,,2011-08,60
France,Europe,,2011-08,708
United Kingdom,Europe,,2011-08,1164
Spain,Europe,,2011-08,154
Switzerland,Europe,,2011-08,118
Netherlands,Europe,,2011-08,414
Italy,Europe,,2011-08,172
Germany,Europe,,2011-08,760
Austria,Europe,,2011-08,192
Belgium,Europe,,2011-08,83
"Others, Asia",Asia,,2011-09,139
Canada,America,,2011-09,1749
United States of America,America,,2011-09,6261
"Others, America",America,,2011-09,85
Brazil,America,,2011-09,35
Argentina,America,,2011-09,8
"Others, Southeast Asia",Asia,Southeast Asia,2011-09,358
Mexico,America,,2011-09,19
Thailand,Asia,Southeast Asia,2011-09,1251
Mainland China,Asia,,2011-09,73622
Indonesia,Asia,Southeast Asia,2011-09,2010
Singapore,Asia,Southeast Asia,2011-09,12741
Malaysia,Asia,Southeast Asia,2011-09,13139
Middle East,Asia,,2011-09,108
India,Asia,,2011-09,98
"Korea,Republic of",Asia,,2011-09,9331
Japan,Asia,,2011-09,90172
Belgium,Europe,,2011-09,92
Philippines,Asia,Southeast Asia,2011-09,1047
France,Europe,,2011-09,448
HongKong. Macao,Asia,,2011-09,33825
Italy,Europe,,2011-09,120
Unstated,,,2011-09,11
"Others, Africa",Africa,,2011-09,17
S. Africa,Africa,,2011-09,44
"Others, Oceania",Oceania,,2011-09,18
New Zealand,Oceania,,2011-09,226
Australia,Oceania,,2011-09,2050
"Others, Europe",Europe,,2011-09,623
Germany,Europe,,2011-09,708
Sweden,Europe,,2011-09,76
Greece,Europe,,2011-09,4
Austria,Europe,,2011-09,127
United Kingdom,Europe,,2011-09,901
Spain,Europe,,2011-09,100
Switzerland,Europe,,2011-09,120
Netherlands,Europe,,2011-09,277
Russian Federation,Europe,,2011-09,45
Brazil,America,,2011-10,90
Mexico,America,,2011-10,35
United States of America,America,,2011-10,11543
