Residence,Region,Sub-Region,Period,Pleasure
United States of America,America,,2014-02,7243
Indonesia,Asia,Southeast Asia,2014-02,1839
Argentina,America,,2014-03,8
Canada,America,,2014-03,3976
Brazil,America,,2014-03,77
Mexico,America,,2014-03,51
United States of America,America,,2014-03,10199
"Others, Asia",Asia,,2014-03,31
S. Africa,Africa,,2014-03,51
Vietnam,Asia,Southeast Asia,2014-03,746
Thailand,Asia,Southeast Asia,2014-03,3020
Philippines,Asia,Southeast Asia,2014-03,1713
Indonesia,Asia,Southeast Asia,2014-03,2494
"Others, Africa",Africa,,2014-03,25
"Others, America",America,,2014-03,105
"Others, Southeast Asia",Asia,Southeast Asia,2014-03,299
Belgium,Europe,,2014-03,95
United Kingdom,Europe,,2014-03,1390
Singapore,Asia,Southeast Asia,2014-03,25487
"Others, Oceania",Oceania,,2014-03,14
New Zealand,Oceania,,2014-03,275
Australia,Oceania,,2014-03,2621
"Others, Europe",Europe,,2014-03,828
Russian Federation,Europe,,2014-03,95
Sweden,Europe,,2014-03,163
Greece,Europe,,2014-03,14
Austria,Europe,,2014-03,177
Spain,Europe,,2014-03,146
France,Europe,,2014-03,810
Switzerland,Europe,,2014-03,222
Italy,Europe,,2014-03,201
Germany,Europe,,2014-03,1507
HongKong. Macao,Asia,,2014-03,83928
Mainland China,Asia,,2014-03,316997
Japan,Asia,,2014-03,124952
"Korea,Republic of",Asia,,2014-03,31809
India,Asia,,2014-03,81
Middle East,Asia,,2014-03,206
Malaysia,Asia,Southeast Asia,2014-03,39099
Netherlands,Europe,,2014-03,412
Unstated,,,2014-03,4
Unstated,,,2014-04,15
"Others, Africa",Africa,,2014-04,58
Australia,Oceania,,2014-04,5468
"Others, America",America,,2014-04,204
Belgium,Europe,,2014-04,196
France,Europe,,2014-04,1000
Germany,Europe,,2014-04,1711
Italy,Europe,,2014-04,208
Netherlands,Europe,,2014-04,553
Argentina,America,,2014-04,32
Switzerland,Europe,,2014-04,320
United Kingdom,Europe,,2014-04,2488
Austria,Europe,,2014-04,183
Greece,Europe,,2014-04,8
Sweden,Europe,,2014-04,250
Russian Federation,Europe,,2014-04,160
"Others, Europe",Europe,,2014-04,1205
Spain,Europe,,2014-04,239
New Zealand,Oceania,,2014-04,467
Brazil,America,,2014-04,176
United States of America,America,,2014-04,12234
Mainland China,Asia,,2014-04,328684
HongKong. Macao,Asia,,2014-04,130512
"Korea,Republic of",Asia,,2014-04,27838
India,Asia,,2014-04,150
Middle East,Asia,,2014-04,462
Malaysia,Asia,Southeast Asia,2014-04,31820
Mexico,America,,2014-04,224
Singapore,Asia,Southeast Asia,2014-04,22033
Philippines,Asia,Southeast Asia,2014-04,3309
Thailand,Asia,Southeast Asia,2014-04,5007
Vietnam,Asia,Southeast Asia,2014-04,1317
"Others, Southeast Asia",Asia,Southeast Asia,2014-04,231
"Others, Asia",Asia,,2014-04,81
Canada,America,,2014-04,4054
Indonesia,Asia,Southeast Asia,2014-04,2277
"Others, Oceania",Oceania,,2014-04,26
Japan,Asia,,2014-04,78110
S. Africa,Africa,,2014-04,94
Japan,Asia,,2014-05,92938
France,Europe,,2014-05,719
Germany,Europe,,2014-05,987
Italy,Europe,,2014-05,184
Netherlands,Europe,,2014-05,369
Australia,Oceania,,2014-05,2228
Switzerland,Europe,,2014-05,179
Spain,Europe,,2014-05,139
United Kingdom,Europe,,2014-05,1502
Austria,Europe,,2014-05,114
Sweden,Europe,,2014-05,145
Russian Federation,Europe,,2014-05,76
S. Africa,Africa,,2014-05,38
"Others, Europe",Europe,,2014-05,821
New Zealand,Oceania,,2014-05,342
"Others, Oceania",Oceania,,2014-05,16
"Others, Africa",Africa,,2014-05,25
Greece,Europe,,2014-05,12
Belgium,Europe,,2014-05,103
"Others, America",America,,2014-05,121
Brazil,America,,2014-05,64
Unstated,,,2014-05,6
"Korea,Republic of",Asia,,2014-05,29096
India,Asia,,2014-05,176
Middle East,Asia,,2014-05,283
Malaysia,Asia,Southeast Asia,2014-05,29923
Singapore,Asia,Southeast Asia,2014-05,22188
Indonesia,Asia,Southeast Asia,2014-05,2763
Mainland China,Asia,,2014-05,286299
HongKong. Macao,Asia,,2014-05,102366
Thailand,Asia,Southeast Asia,2014-05,2777
Vietnam,Asia,Southeast Asia,2014-05,650
"Others, Southeast Asia",Asia,Southeast Asia,2014-05,221
"Others, Asia",Asia,,2014-05,42
Canada,America,,2014-05,3887
United States of America,America,,2014-05,10986
Mexico,America,,2014-05,35
Philippines,Asia,Southeast Asia,2014-05,2426
Argentina,America,,2014-05,15
United Kingdom,Europe,,2014-06,1332
Mainland China,Asia,,2014-06,269988
Sweden,Europe,,2014-06,221
Canada,America,,2014-06,2632
United States of America,America,,2014-06,12265
Mexico,America,,2014-06,61
Brazil,America,,2014-06,60
Argentina,America,,2014-06,20
"Others, America",America,,2014-06,104
Belgium,Europe,,2014-06,105
France,Europe,,2014-06,632
Germany,Europe,,2014-06,716
Italy,Europe,,2014-06,181
Netherlands,Europe,,2014-06,357
Switzerland,Europe,,2014-06,166
Greece,Europe,,2014-06,5
Austria,Europe,,2014-06,87
Russian Federation,Europe,,2014-06,85
"Others, Europe",Europe,,2014-06,902
Australia,Oceania,,2014-06,2181
New Zealand,Oceania,,2014-06,280
Japan,Asia,,2014-06,81412
"Korea,Republic of",Asia,,2014-06,23668
India,Asia,,2014-06,155
Middle East,Asia,,2014-06,221
Malaysia,Asia,Southeast Asia,2014-06,23210
Singapore,Asia,Southeast Asia,2014-06,26459
Indonesia,Asia,Southeast Asia,2014-06,3318
HongKong. Macao,Asia,,2014-06,116928
Philippines,Asia,Southeast Asia,2014-06,1590
Spain,Europe,,2014-06,203
"Others, Southeast Asia",Asia,Southeast Asia,2014-06,187
"Others, Asia",Asia,,2014-06,49
Unstated,,,2014-06,17
"Others, Africa",Africa,,2014-06,24
S. Africa,Africa,,2014-06,33
"Others, Oceania",Oceania,,2014-06,15
Thailand,Asia,Southeast Asia,2014-06,1969
Vietnam,Asia,Southeast Asia,2014-06,752
Netherlands,Europe,,2014-07,662
Switzerland,Europe,,2014-07,245
Argentina,America,,2014-07,16
"Others, America",America,,2014-07,124
Belgium,Europe,,2014-07,224
France,Europe,,2014-07,1022
Germany,Europe,,2014-07,893
Italy,Europe,,2014-07,191
Spain,Europe,,2014-07,212
United Kingdom,Europe,,2014-07,1770
Austria,Europe,,2014-07,162
Greece,Europe,,2014-07,13
Sweden,Europe,,2014-07,241
Russian Federation,Europe,,2014-07,76
"Others, Europe",Europe,,2014-07,1166
Australia,Oceania,,2014-07,2084
New Zealand,Oceania,,2014-07,369
"Others, Oceania",Oceania,,2014-07,15
S. Africa,Africa,,2014-07,63
"Others, Africa",Africa,,2014-07,33
Unstated,,,2014-07,11
Mexico,America,,2014-07,59
United States of America,America,,2014-07,11126
Brazil,America,,2014-07,87
"Others, Asia",Asia,,2014-07,34
HongKong. Macao,Asia,,2014-07,109147
Mainland China,Asia,,2014-07,291149
Canada,America,,2014-07,3500
"Korea,Republic of",Asia,,2014-07,26482
India,Asia,,2014-07,133
Middle East,Asia,,2014-07,205
Malaysia,Asia,Southeast Asia,2014-07,19431
Japan,Asia,,2014-07,83093
Indonesia,Asia,Southeast Asia,2014-07,7802
Philippines,Asia,Southeast Asia,2014-07,1158
Thailand,Asia,Southeast Asia,2014-07,1873
Vietnam,Asia,Southeast Asia,2014-07,791
"Others, Southeast Asia",Asia,Southeast Asia,2014-07,199
Singapore,Asia,Southeast Asia,2014-07,13909
Malaysia,Asia,Southeast Asia,2014-08,12212
Thailand,Asia,Southeast Asia,2014-08,1851
Philippines,Asia,Southeast Asia,2014-08,1510
Indonesia,Asia,Southeast Asia,2014-08,1857
Austria,Europe,,2014-08,143
HongKong. Macao,Asia,,2014-08,128924
India,Asia,,2014-08,143
Japan,Asia,,2014-08,112328
"Korea,Republic of",Asia,,2014-08,32721
Middle East,Asia,,2014-08,355
Vietnam,Asia,Southeast Asia,2014-08,839
Singapore,Asia,Southeast Asia,2014-08,10809
Mainland China,Asia,,2014-08,262569
"Others, Southeast Asia",Asia,Southeast Asia,2014-08,99
New Zealand,Oceania,,2014-08,226
Canada,America,,2014-08,3226
United States of America,America,,2014-08,8925
Mexico,America,,2014-08,47
Brazil,America,,2014-08,57
Greece,Europe,,2014-08,20
Argentina,America,,2014-08,13
"Others, America",America,,2014-08,89
Belgium,Europe,,2014-08,114
France,Europe,,2014-08,1038
Germany,Europe,,2014-08,1451
Italy,Europe,,2014-08,336
Netherlands,Europe,,2014-08,481
Switzerland,Europe,,2014-08,201
"Others, Asia",Asia,,2014-08,58
"Others, Oceania",Oceania,,2014-08,24
United Kingdom,Europe,,2014-08,1684
Spain,Europe,,2014-08,345
Australia,Oceania,,2014-08,1754
"Others, Europe",Europe,,2014-08,1188
Russian Federation,Europe,,2014-08,97
Sweden,Europe,,2014-08,141
S. Africa,Africa,,2014-08,56
"Others, Africa",Africa,,2014-08,39
Unstated,,,2014-08,21
Vietnam,Asia,Southeast Asia,2014-09,597
"Others, Southeast Asia",Asia,Southeast Asia,2014-09,200
"Others, Asia",Asia,,2014-09,38
Canada,America,,2014-09,2838
France,Europe,,2014-09,733
Mexico,America,,2014-09,73
Brazil,America,,2014-09,71
Thailand,Asia,Southeast Asia,2014-09,1798
United States of America,America,,2014-09,8707
Philippines,Asia,Southeast Asia,2014-09,1578
Middle East,Asia,,2014-09,230
Singapore,Asia,Southeast Asia,2014-09,15541
Malaysia,Asia,Southeast Asia,2014-09,23943
Argentina,America,,2014-09,8
India,Asia,,2014-09,143
"Korea,Republic of",Asia,,2014-09,26325
Japan,Asia,,2014-09,103805
Mainland China,Asia,,2014-09,277623
HongKong. Macao,Asia,,2014-09,84502
Indonesia,Asia,Southeast Asia,2014-09,2210
Belgium,Europe,,2014-09,101
Austria,Europe,,2014-09,127
"Others, Europe",Europe,,2014-09,816
New Zealand,Oceania,,2014-09,285
Australia,Oceania,,2014-09,2663
"Others, Africa",Africa,,2014-09,60
Russian Federation,Europe,,2014-09,65
Sweden,Europe,,2014-09,142
Unstated,,,2014-09,17
"Others, Oceania",Oceania,,2014-09,10
Greece,Europe,,2014-09,12
United Kingdom,Europe,,2014-09,1305
Spain,Europe,,2014-09,158
Switzerland,Europe,,2014-09,224
Netherlands,Europe,,2014-09,363
Italy,Europe,,2014-09,200
Germany,Europe,,2014-09,1302
"Others, America",America,,2014-09,121
S. Africa,Africa,,2014-09,51
"Korea,Republic of",Asia,,2014-10,35991
Japan,Asia,,2014-10,106320
Mainland China,Asia,,2014-10,297060
"Others, Southeast Asia",Asia,Southeast Asia,2014-10,320
"Others, Oceania",Oceania,,2014-10,37
India,Asia,,2014-10,173
Unstated,,,2014-10,27
HongKong. Macao,Asia,,2014-10,79007
Middle East,Asia,,2014-10,366
Malaysia,Asia,Southeast Asia,2014-10,31287
Singapore,Asia,Southeast Asia,2014-10,26143
"Others, Asia",Asia,,2014-10,58
Canada,America,,2014-10,4889
United States of America,America,,2014-10,13276
Mexico,America,,2014-10,66
Brazil,America,,2014-10,121
Argentina,America,,2014-10,54
"Others, America",America,,2014-10,165
Belgium,Europe,,2014-10,145
France,Europe,,2014-10,1080
Germany,Europe,,2014-10,1874
Thailand,Asia,Southeast Asia,2014-10,3102
Vietnam,Asia,Southeast Asia,2014-10,487
Netherlands,Europe,,2014-10,696
Spain,Europe,,2014-10,243
United Kingdom,Europe,,2014-10,2367
Austria,Europe,,2014-10,208
Greece,Europe,,2014-10,9
Sweden,Europe,,2014-10,194
Russian Federation,Europe,,2014-10,119
Philippines,Asia,Southeast Asia,2014-10,2811
Indonesia,Asia,Southeast Asia,2014-10,2724
"Others, Europe",Europe,,2014-10,1412
Australia,Oceania,,2014-10,3441
New Zealand,Oceania,,2014-10,379
Switzerland,Europe,,2014-10,340
Italy,Europe,,2014-10,215
"Others, Africa",Africa,,2014-10,40
S. Africa,Africa,,2014-10,52
Belgium,Europe,,2014-11,212
Canada,America,,2014-11,5538
"Others, Asia",Asia,,2014-11,44
"Others, Southeast Asia",Asia,Southeast Asia,2014-11,271
Vietnam,Asia,Southeast Asia,2014-11,560
Thailand,Asia,Southeast Asia,2014-11,2775
Philippines,Asia,Southeast Asia,2014-11,2154
Indonesia,Asia,Southeast Asia,2014-11,1954
Singapore,Asia,Southeast Asia,2014-11,35921
Middle East,Asia,,2014-11,380
India,Asia,,2014-11,180
"Korea,Republic of",Asia,,2014-11,35002
Japan,Asia,,2014-11,115523
Mainland China,Asia,,2014-11,286031
HongKong. Macao,Asia,,2014-11,85233
Unstated,,,2014-11,13
France,Europe,,2014-11,841
United States of America,America,,2014-11,13649
Mexico,America,,2014-11,66
Malaysia,Asia,Southeast Asia,2014-11,38741
Argentina,America,,2014-11,9
Italy,Europe,,2014-11,280
Germany,Europe,,2014-11,1595
Brazil,America,,2014-11,73
Netherlands,Europe,,2014-11,559
Switzerland,Europe,,2014-11,296
Spain,Europe,,2014-11,207
Austria,Europe,,2014-11,212
Greece,Europe,,2014-11,26
Sweden,Europe,,2014-11,248
United Kingdom,Europe,,2014-11,1937
Russian Federation,Europe,,2014-11,169
"Others, America",America,,2014-11,127
"Others, Africa",Africa,,2014-11,45
S. Africa,Africa,,2014-11,35
"Others, Oceania",Oceania,,2014-11,13
Australia,Oceania,,2014-11,3225
"Others, Europe",Europe,,2014-11,1223
New Zealand,Oceania,,2014-11,341
"Others, America",America,,2014-12,129
Belgium,Europe,,2014-12,125
France,Europe,,2014-12,952
Argentina,America,,2014-12,25
Germany,Europe,,2014-12,1689
Spain,Europe,,2014-12,221
Netherlands,Europe,,2014-12,623
Switzerland,Europe,,2014-12,225
United Kingdom,Europe,,2014-12,1840
"Others, Oceania",Oceania,,2014-12,15
Greece,Europe,,2014-12,11
Sweden,Europe,,2014-12,285
Russian Federation,Europe,,2014-12,97
"Others, Europe",Europe,,2014-12,1307
Australia,Oceania,,2014-12,6213
New Zealand,Oceania,,2014-12,723
Unstated,,,2014-12,28
"Others, Africa",Africa,,2014-12,48
S. Africa,Africa,,2014-12,110
Brazil,America,,2014-12,132
Austria,Europe,,2014-12,188
Mexico,America,,2014-12,45
Italy,Europe,,2014-12,310
Canada,America,,2014-12,4789
United States of America,America,,2014-12,14571
Mainland China,Asia,,2014-12,296349
Japan,Asia,,2014-12,115588
"Korea,Republic of",Asia,,2014-12,38224
India,Asia,,2014-12,234
Middle East,Asia,,2014-12,350
Malaysia,Asia,Southeast Asia,2014-12,51145
HongKong. Macao,Asia,,2014-12,119657
Indonesia,Asia,Southeast Asia,2014-12,5359
Philippines,Asia,Southeast Asia,2014-12,4140
Thailand,Asia,Southeast Asia,2014-12,6404
Vietnam,Asia,Southeast Asia,2014-12,996
"Others, Southeast Asia",Asia,Southeast Asia,2014-12,474
Singapore,Asia,Southeast Asia,2014-12,52786
"Others, Asia",Asia,,2014-12,90
HongKong. Macao,Asia,,2015-01,61113
Belgium,Europe,,2015-01,131
France,Europe,,2015-01,600
Germany,Europe,,2015-01,1292
Italy,Europe,,2015-01,208
Switzerland,Europe,,2015-01,172
Netherlands,Europe,,2015-01,437
Spain,Europe,,2015-01,141
United Kingdom,Europe,,2015-01,1187
Austria,Europe,,2015-01,138
Mainland China,Asia,,2015-01,277464
Argentina,America,,2015-01,27
Japan,Asia,,2015-01,88706
Thailand,Asia,Southeast Asia,2015-01,2448
India,Asia,,2015-01,137
Middle East,Asia,,2015-01,295
Malaysia,Asia,Southeast Asia,2015-01,16980
Singapore,Asia,Southeast Asia,2015-01,16756
Indonesia,Asia,Southeast Asia,2015-01,1383
Philippines,Asia,Southeast Asia,2015-01,1773
Sweden,Europe,,2015-01,155
Vietnam,Asia,Southeast Asia,2015-01,841
"Others, Southeast Asia",Asia,Southeast Asia,2015-01,206
"Others, Asia",Asia,,2015-01,52
Canada,America,,2015-01,3193
United States of America,America,,2015-01,9317
Mexico,America,,2015-01,30
Brazil,America,,2015-01,151
"Korea,Republic of",Asia,,2015-01,62180
Russian Federation,Europe,,2015-01,91
Greece,Europe,,2015-01,10
Australia,Oceania,,2015-01,4193
"Others, Europe",Europe,,2015-01,844
Unstated,,,2015-01,12
"Others, Africa",Africa,,2015-01,21
"Others, America",America,,2015-01,112
"Others, Oceania",Oceania,,2015-01,15
New Zealand,Oceania,,2015-01,526
S. Africa,Africa,,2015-01,52
Russian Federation,Europe,,2015-02,71
"Others, Europe",Europe,,2015-02,931
Australia,Oceania,,2015-02,2086
New Zealand,Oceania,,2015-02,302
"Others, Oceania",Oceania,,2015-02,15
S. Africa,Africa,,2015-02,73
Sweden,Europe,,2015-02,130
Greece,Europe,,2015-02,12
Austria,Europe,,2015-02,129
United Kingdom,Europe,,2015-02,1243
Switzerland,Europe,,2015-02,178
Netherlands,Europe,,2015-02,363
Germany,Europe,,2015-02,1305
France,Europe,,2015-02,812
Belgium,Europe,,2015-02,125
"Others, America",America,,2015-02,94
Argentina,America,,2015-02,12
Brazil,America,,2015-02,78
Mexico,America,,2015-02,56
"Others, Africa",Africa,,2015-02,18
Unstated,,,2015-02,7
Spain,Europe,,2015-02,157
Italy,Europe,,2015-02,218
Philippines,Asia,Southeast Asia,2015-02,1643
Canada,America,,2015-02,2931
HongKong. Macao,Asia,,2015-02,76152
Mainland China,Asia,,2015-02,346188
"Korea,Republic of",Asia,,2015-02,44173
India,Asia,,2015-02,128
Middle East,Asia,,2015-02,293
Malaysia,Asia,Southeast Asia,2015-02,14000
Japan,Asia,,2015-02,73721
Indonesia,Asia,Southeast Asia,2015-02,1336
Thailand,Asia,Southeast Asia,2015-02,1821
Vietnam,Asia,Southeast Asia,2015-02,1131
"Others, Southeast Asia",Asia,Southeast Asia,2015-02,283
"Others, Asia",Asia,,2015-02,62
Singapore,Asia,Southeast Asia,2015-02,10382
United States of America,America,,2015-02,8185
New Zealand,Oceania,,2015-03,269
Japan,Asia,,2015-03,123450
Mainland China,Asia,,2015-03,219101
HongKong. Macao,Asia,,2015-03,96169
Unstated,,,2015-03,24
"Others, Africa",Africa,,2015-03,30
S. Africa,Africa,,2015-03,43
"Others, Oceania",Oceania,,2015-03,26
Greece,Europe,,2015-03,7
Switzerland,Europe,,2015-03,270
Spain,Europe,,2015-03,176
United Kingdom,Europe,,2015-03,1688
"Others, Europe",Europe,,2015-03,993
Austria,Europe,,2015-03,171
"Korea,Republic of",Asia,,2015-03,34299
Sweden,Europe,,2015-03,203
Russian Federation,Europe,,2015-03,112
Australia,Oceania,,2015-03,2843
India,Asia,,2015-03,223
Middle East,Asia,,2015-03,396
Malaysia,Asia,Southeast Asia,2015-03,39156
Italy,Europe,,2015-03,181
Netherlands,Europe,,2015-03,501
Belgium,Europe,,2015-03,162
"Others, America",America,,2015-03,118
Argentina,America,,2015-03,16
Germany,Europe,,2015-03,2337
Mexico,America,,2015-03,86
United States of America,America,,2015-03,12036
Brazil,America,,2015-03,77
"Others, Asia",Asia,,2015-03,68
"Others, Southeast Asia",Asia,Southeast Asia,2015-03,326
Vietnam,Asia,Southeast Asia,2015-03,1229
Thailand,Asia,Southeast Asia,2015-03,4901
Philippines,Asia,Southeast Asia,2015-03,2862
Indonesia,Asia,Southeast Asia,2015-03,2455
Singapore,Asia,Southeast Asia,2015-03,25467
Canada,America,,2015-03,4307
France,Europe,,2015-03,856
"Others, Asia",Asia,,2015-04,33
"Others, Southeast Asia",Asia,Southeast Asia,2015-04,297
Vietnam,Asia,Southeast Asia,2015-04,1425
Thailand,Asia,Southeast Asia,2015-04,6584
"Korea,Republic of",Asia,,2015-04,36520
Indonesia,Asia,Southeast Asia,2015-04,2433
Singapore,Asia,Southeast Asia,2015-04,22404
Malaysia,Asia,Southeast Asia,2015-04,28225
Middle East,Asia,,2015-04,325
India,Asia,,2015-04,181
Canada,America,,2015-04,3390
Japan,Asia,,2015-04,70862
Philippines,Asia,Southeast Asia,2015-04,3091
United States of America,America,,2015-04,12013
"Others, Europe",Europe,,2015-04,959
Brazil,America,,2015-04,77
Unstated,,,2015-04,16
"Others, Africa",Africa,,2015-04,51
S. Africa,Africa,,2015-04,40
"Others, Oceania",Oceania,,2015-04,29
New Zealand,Oceania,,2015-04,289
Australia,Oceania,,2015-04,2793
Russian Federation,Europe,,2015-04,105
Sweden,Europe,,2015-04,209
Greece,Europe,,2015-04,14
Austria,Europe,,2015-04,130
United Kingdom,Europe,,2015-04,1624
Spain,Europe,,2015-04,156
Switzerland,Europe,,2015-04,375
Netherlands,Europe,,2015-04,450
Italy,Europe,,2015-04,217
Germany,Europe,,2015-04,1328
France,Europe,,2015-04,1089
Belgium,Europe,,2015-04,190
"Others, America",America,,2015-04,116
Mexico,America,,2015-04,41
Argentina,America,,2015-04,17
HongKong. Macao,Asia,,2015-04,129494
Mainland China,Asia,,2015-04,297538
Argentina,America,,2015-05,17
Germany,Europe,,2015-05,1149
Italy,Europe,,2015-05,236
Netherlands,Europe,,2015-05,388
Switzerland,Europe,,2015-05,205
Spain,Europe,,2015-05,143
United Kingdom,Europe,,2015-05,1359
France,Europe,,2015-05,749
Austria,Europe,,2015-05,143
Sweden,Europe,,2015-05,140
Russian Federation,Europe,,2015-05,81
"Others, Europe",Europe,,2015-05,783
Australia,Oceania,,2015-05,2035
New Zealand,Oceania,,2015-05,320
"Others, Oceania",Oceania,,2015-05,21
S. Africa,Africa,,2015-05,52
Greece,Europe,,2015-05,3
"Others, Africa",Africa,,2015-05,29
Belgium,Europe,,2015-05,80
Brazil,America,,2015-05,49
Mainland China,Asia,,2015-05,311737
Japan,Asia,,2015-05,88707
"Korea,Republic of",Asia,,2015-05,41548
India,Asia,,2015-05,249
Middle East,Asia,,2015-05,302
Malaysia,Asia,Southeast Asia,2015-05,23097
Singapore,Asia,Southeast Asia,2015-05,22020
"Others, America",America,,2015-05,126
Indonesia,Asia,Southeast Asia,2015-05,1933
Thailand,Asia,Southeast Asia,2015-05,3658
Vietnam,Asia,Southeast Asia,2015-05,740
"Others, Southeast Asia",Asia,Southeast Asia,2015-05,205
"Others, Asia",Asia,,2015-05,52
Canada,America,,2015-05,3597
United States of America,America,,2015-05,11545
Mexico,America,,2015-05,57
Philippines,Asia,Southeast Asia,2015-05,2488
HongKong. Macao,Asia,,2015-05,110016
Unstated,,,2015-05,9
"Korea,Republic of",Asia,,2015-06,26720
Italy,Europe,,2015-06,209
Netherlands,Europe,,2015-06,342
Switzerland,Europe,,2015-06,153
Spain,Europe,,2015-06,180
United Kingdom,Europe,,2015-06,1338
Austria,Europe,,2015-06,71
Greece,Europe,,2015-06,12
Germany,Europe,,2015-06,773
Sweden,Europe,,2015-06,198
"Others, Europe",Europe,,2015-06,915
Australia,Oceania,,2015-06,2052
New Zealand,Oceania,,2015-06,277
"Others, Oceania",Oceania,,2015-06,45
S. Africa,Africa,,2015-06,46
"Others, Africa",Africa,,2015-06,20
Unstated,,,2015-06,15
Russian Federation,Europe,,2015-06,126
Japan,Asia,,2015-06,77490
Mainland China,Asia,,2015-06,249868
Belgium,Europe,,2015-06,72
India,Asia,,2015-06,171
Middle East,Asia,,2015-06,225
Malaysia,Asia,Southeast Asia,2015-06,22144
Singapore,Asia,Southeast Asia,2015-06,24972
Indonesia,Asia,Southeast Asia,2015-06,2400
Philippines,Asia,Southeast Asia,2015-06,2205
Thailand,Asia,Southeast Asia,2015-06,2401
France,Europe,,2015-06,668
Vietnam,Asia,Southeast Asia,2015-06,1019
"Others, Asia",Asia,,2015-06,43
Canada,America,,2015-06,2601
United States of America,America,,2015-06,12381
Mexico,America,,2015-06,76
Brazil,America,,2015-06,94
Argentina,America,,2015-06,11
"Others, America",America,,2015-06,106
"Others, Southeast Asia",Asia,Southeast Asia,2015-06,205
HongKong. Macao,Asia,,2015-06,123594
HongKong. Macao,Asia,,2015-07,126605
Unstated,,,2015-07,18
United States of America,America,,2015-07,11734
Canada,America,,2015-07,3330
"Others, Asia",Asia,,2015-07,102
"Others, Southeast Asia",Asia,Southeast Asia,2015-07,299
Vietnam,Asia,Southeast Asia,2015-07,1116
Thailand,Asia,Southeast Asia,2015-07,3138
Philippines,Asia,Southeast Asia,2015-07,1793
Indonesia,Asia,Southeast Asia,2015-07,6880
Singapore,Asia,Southeast Asia,2015-07,14268
Malaysia,Asia,Southeast Asia,2015-07,16505
Middle East,Asia,,2015-07,270
India,Asia,,2015-07,186
"Korea,Republic of",Asia,,2015-07,34988
Japan,Asia,,2015-07,79060
Mainland China,Asia,,2015-07,283530
Mexico,America,,2015-07,37
Brazil,America,,2015-07,54
Argentina,America,,2015-07,10
Greece,Europe,,2015-07,11
"Others, Africa",Africa,,2015-07,22
S. Africa,Africa,,2015-07,45
"Others, Oceania",Oceania,,2015-07,16
New Zealand,Oceania,,2015-07,333
Australia,Oceania,,2015-07,1998
"Others, Europe",Europe,,2015-07,1147
Russian Federation,Europe,,2015-07,90
Sweden,Europe,,2015-07,238
Spain,Europe,,2015-07,229
Austria,Europe,,2015-07,216
United Kingdom,Europe,,2015-07,1728
Switzerland,Europe,,2015-07,282
Netherlands,Europe,,2015-07,703
Italy,Europe,,2015-07,253
Germany,Europe,,2015-07,1085
France,Europe,,2015-07,1102
Belgium,Europe,,2015-07,231
"Others, America",America,,2015-07,120
"Others, Europe",Europe,,2015-08,983
Australia,Oceania,,2015-08,1466
"Others, Africa",Africa,,2015-08,31
Philippines,Asia,Southeast Asia,2015-08,1948
Indonesia,Asia,Southeast Asia,2015-08,1574
Singapore,Asia,Southeast Asia,2015-08,14087
Malaysia,Asia,Southeast Asia,2015-08,14004
Middle East,Asia,,2015-08,276
India,Asia,,2015-08,237
"Korea,Republic of",Asia,,2015-08,42883
Japan,Asia,,2015-08,106357
Mainland China,Asia,,2015-08,295664
HongKong. Macao,Asia,,2015-08,143569
Sweden,Europe,,2015-08,128
Russian Federation,Europe,,2015-08,96
Unstated,,,2015-08,22
S. Africa,Africa,,2015-08,60
"Others, Oceania",Oceania,,2015-08,38
Thailand,Asia,Southeast Asia,2015-08,2321
Vietnam,Asia,Southeast Asia,2015-08,1363
"Others, Southeast Asia",Asia,Southeast Asia,2015-08,226
"Others, Asia",Asia,,2015-08,110
United Kingdom,Europe,,2015-08,1658
Austria,Europe,,2015-08,212
Greece,Europe,,2015-08,19
Spain,Europe,,2015-08,348
Switzerland,Europe,,2015-08,215
Netherlands,Europe,,2015-08,465
Italy,Europe,,2015-08,311
New Zealand,Oceania,,2015-08,223
Germany,Europe,,2015-08,1273
Belgium,Europe,,2015-08,126
"Others, America",America,,2015-08,102
Argentina,America,,2015-08,10
Brazil,America,,2015-08,44
Mexico,America,,2015-08,46
United States of America,America,,2015-08,9359
Canada,America,,2015-08,3090
France,Europe,,2015-08,1098
HongKong. Macao,Asia,,2015-09,95598
Unstated,,,2015-09,23
Japan,Asia,,2015-09,111006
Germany,Europe,,2015-09,1471
Italy,Europe,,2015-09,195
Mainland China,Asia,,2015-09,261808
Switzerland,Europe,,2015-09,224
Spain,Europe,,2015-09,194
United Kingdom,Europe,,2015-09,1483
Austria,Europe,,2015-09,119
France,Europe,,2015-09,658
Greece,Europe,,2015-09,10
Russian Federation,Europe,,2015-09,82
"Others, Europe",Europe,,2015-09,1032
Australia,Oceania,,2015-09,2677
New Zealand,Oceania,,2015-09,299
"Others, Oceania",Oceania,,2015-09,31
S. Africa,Africa,,2015-09,27
"Others, Africa",Africa,,2015-09,44
Sweden,Europe,,2015-09,134
Belgium,Europe,,2015-09,118
Netherlands,Europe,,2015-09,373
Argentina,America,,2015-09,8
"Korea,Republic of",Asia,,2015-09,35359
India,Asia,,2015-09,151
Middle East,Asia,,2015-09,381
"Others, America",America,,2015-09,117
Malaysia,Asia,Southeast Asia,2015-09,23238
Singapore,Asia,Southeast Asia,2015-09,19238
Philippines,Asia,Southeast Asia,2015-09,1605
