Residence,Region,Sub-Region,Period,Conference
Japan,Asia,,2011-07,858
"Others, Africa",Africa,,2011-08,11
United States of America,America,,2011-08,502
Canada,America,,2011-08,78
"Others, Asia",Asia,,2011-08,59
"Others, Southeast Asia",Asia,Southeast Asia,2011-08,79
Thailand,Asia,Southeast Asia,2011-08,124
Philippines,Asia,Southeast Asia,2011-08,196
Indonesia,Asia,Southeast Asia,2011-08,88
S. Africa,Africa,,2011-08,21
Malaysia,Asia,Southeast Asia,2011-08,398
Middle East,Asia,,2011-08,14
India,Asia,,2011-08,141
"Korea,Republic of",Asia,,2011-08,458
Japan,Asia,,2011-08,823
Mainland China,Asia,,2011-08,1711
HongKong. Macao,Asia,,2011-08,480
Mexico,America,,2011-08,12
Brazil,America,,2011-08,2
Singapore,Asia,Southeast Asia,2011-08,356
"Others, America",America,,2011-08,53
Argentina,America,,2011-08,0
Unstated,,,2011-08,0
"Others, Oceania",Oceania,,2011-08,9
New Zealand,Oceania,,2011-08,36
Australia,Oceania,,2011-08,94
"Others, Europe",Europe,,2011-08,72
Sweden,Europe,,2011-08,10
Greece,Europe,,2011-08,3
Russian Federation,Europe,,2011-08,22
France,Europe,,2011-08,37
United Kingdom,Europe,,2011-08,80
Spain,Europe,,2011-08,11
Switzerland,Europe,,2011-08,4
Netherlands,Europe,,2011-08,15
Italy,Europe,,2011-08,13
Germany,Europe,,2011-08,62
Austria,Europe,,2011-08,11
Belgium,Europe,,2011-08,8
"Others, Asia",Asia,,2011-09,141
Canada,America,,2011-09,55
United States of America,America,,2011-09,497
"Others, America",America,,2011-09,37
Brazil,America,,2011-09,12
Argentina,America,,2011-09,5
"Others, Southeast Asia",Asia,Southeast Asia,2011-09,118
Mexico,America,,2011-09,3
Thailand,Asia,Southeast Asia,2011-09,208
Mainland China,Asia,,2011-09,1679
Indonesia,Asia,Southeast Asia,2011-09,134
Singapore,Asia,Southeast Asia,2011-09,424
Malaysia,Asia,Southeast Asia,2011-09,434
Middle East,Asia,,2011-09,63
India,Asia,,2011-09,239
"Korea,Republic of",Asia,,2011-09,620
Japan,Asia,,2011-09,949
Belgium,Europe,,2011-09,6
Philippines,Asia,Southeast Asia,2011-09,254
France,Europe,,2011-09,60
HongKong. Macao,Asia,,2011-09,492
Italy,Europe,,2011-09,19
Unstated,,,2011-09,0
"Others, Africa",Africa,,2011-09,37
S. Africa,Africa,,2011-09,13
"Others, Oceania",Oceania,,2011-09,13
New Zealand,Oceania,,2011-09,41
Australia,Oceania,,2011-09,185
"Others, Europe",Europe,,2011-09,84
Germany,Europe,,2011-09,87
Sweden,Europe,,2011-09,11
Greece,Europe,,2011-09,2
Austria,Europe,,2011-09,10
United Kingdom,Europe,,2011-09,91
Spain,Europe,,2011-09,17
Switzerland,Europe,,2011-09,13
Netherlands,Europe,,2011-09,18
Russian Federation,Europe,,2011-09,25
Brazil,America,,2011-10,22
Mexico,America,,2011-10,21
United States of America,America,,2011-10,894
Canada,America,,2011-10,147
"Others, Asia",Asia,,2011-10,89
"Others, Southeast Asia",Asia,Southeast Asia,2011-10,180
Thailand,Asia,Southeast Asia,2011-10,269
Singapore,Asia,Southeast Asia,2011-10,377
Indonesia,Asia,Southeast Asia,2011-10,189
Argentina,America,,2011-10,2
Malaysia,Asia,Southeast Asia,2011-10,370
Middle East,Asia,,2011-10,103
India,Asia,,2011-10,168
"Korea,Republic of",Asia,,2011-10,608
Japan,Asia,,2011-10,1040
Philippines,Asia,Southeast Asia,2011-10,319
"Others, America",America,,2011-10,53
Italy,Europe,,2011-10,65
France,Europe,,2011-10,135
Unstated,,,2011-10,0
"Others, Africa",Africa,,2011-10,63
S. Africa,Africa,,2011-10,23
"Others, Oceania",Oceania,,2011-10,26
New Zealand,Oceania,,2011-10,34
Australia,Oceania,,2011-10,191
"Others, Europe",Europe,,2011-10,166
Belgium,Europe,,2011-10,21
Russian Federation,Europe,,2011-10,56
Greece,Europe,,2011-10,7
Mainland China,Asia,,2011-10,2095
United Kingdom,Europe,,2011-10,162
Spain,Europe,,2011-10,31
Switzerland,Europe,,2011-10,24
Netherlands,Europe,,2011-10,39
Germany,Europe,,2011-10,154
Sweden,Europe,,2011-10,31
Austria,Europe,,2011-10,24
HongKong. Macao,Asia,,2011-10,536
"Others, Southeast Asia",Asia,Southeast Asia,2011-11,226
Argentina,America,,2011-11,7
Mexico,America,,2011-11,8
United States of America,America,,2011-11,1089
Canada,America,,2011-11,126
"Others, Asia",Asia,,2011-11,130
Thailand,Asia,Southeast Asia,2011-11,274
Philippines,Asia,Southeast Asia,2011-11,319
"Others, America",America,,2011-11,32
Indonesia,Asia,Southeast Asia,2011-11,269
Malaysia,Asia,Southeast Asia,2011-11,953
Middle East,Asia,,2011-11,99
India,Asia,,2011-11,262
"Korea,Republic of",Asia,,2011-11,1075
Japan,Asia,,2011-11,1528
Mainland China,Asia,,2011-11,3406
HongKong. Macao,Asia,,2011-11,739
Singapore,Asia,Southeast Asia,2011-11,504
Belgium,Europe,,2011-11,23
Brazil,America,,2011-11,25
Germany,Europe,,2011-11,165
Unstated,,,2011-11,0
"Others, Africa",Africa,,2011-11,40
S. Africa,Africa,,2011-11,36
"Others, Oceania",Oceania,,2011-11,8
New Zealand,Oceania,,2011-11,57
France,Europe,,2011-11,122
"Others, Europe",Europe,,2011-11,185
Russian Federation,Europe,,2011-11,64
Sweden,Europe,,2011-11,42
Australia,Oceania,,2011-11,308
