Residence,Region,Sub-Region,Period,Medical Treatment
Vietnam,Asia,Southeast Asia,2015-11,13
Mainland China,Asia,,2015-11,6291
Middle East,Asia,,2015-11,0
Japan,Asia,,2015-11,10
Australia,Oceania,,2015-11,7
New Zealand,Oceania,,2015-11,0
Philippines,Asia,Southeast Asia,2015-11,35
"Korea,Republic of",Asia,,2015-11,7
India,Asia,,2015-11,4
Singapore,Asia,Southeast Asia,2015-11,17
Thailand,Asia,Southeast Asia,2015-11,10
Indonesia,Asia,Southeast Asia,2015-11,39
France,Europe,,2015-11,1
Sweden,Europe,,2015-11,0
Belgium,Europe,,2015-11,0
"Others, America",America,,2015-11,4
Argentina,America,,2015-11,0
Brazil,America,,2015-11,0
Mexico,America,,2015-11,1
United States of America,America,,2015-11,47
Canada,America,,2015-11,7
Germany,Europe,,2015-11,0
"Others, Asia",Asia,,2015-11,22
Netherlands,Europe,,2015-11,1
Switzerland,Europe,,2015-11,0
Spain,Europe,,2015-11,3
"Others, Africa",Africa,,2015-11,0
United Kingdom,Europe,,2015-11,1
Austria,Europe,,2015-11,0
Greece,Europe,,2015-11,0
Italy,Europe,,2015-11,2
Unstated,,,2015-11,0
"Others, Europe",Europe,,2015-11,2
Russian Federation,Europe,,2015-11,1
Mainland China,Asia,,2015-12,3736
Canada,America,,2015-12,7
United States of America,America,,2015-12,33
Mexico,America,,2015-12,0
Brazil,America,,2015-12,0
Argentina,America,,2015-12,0
"Others, America",America,,2015-12,0
France,Europe,,2015-12,1
Germany,Europe,,2015-12,1
Italy,Europe,,2015-12,1
Netherlands,Europe,,2015-12,0
Switzerland,Europe,,2015-12,0
Spain,Europe,,2015-12,0
United Kingdom,Europe,,2015-12,2
Austria,Europe,,2015-12,0
Greece,Europe,,2015-12,0
"Others, Asia",Asia,,2015-12,15
HongKong. Macao,Asia,,2015-12,158
"Others, Southeast Asia",Asia,Southeast Asia,2015-12,116
"Others, Africa",Africa,,2015-12,0
Japan,Asia,,2015-12,9
Sweden,Europe,,2015-12,0
Russian Federation,Europe,,2015-12,2
"Others, Europe",Europe,,2015-12,2
"Korea,Republic of",Asia,,2015-12,13
India,Asia,,2015-12,0
Middle East,Asia,,2015-12,0
Unstated,,,2015-12,0
Malaysia,Asia,Southeast Asia,2015-12,70
Indonesia,Asia,Southeast Asia,2015-12,36
Philippines,Asia,Southeast Asia,2015-12,19
Vietnam,Asia,Southeast Asia,2015-12,21
Australia,Oceania,,2015-12,5
New Zealand,Oceania,,2015-12,0
"Others, Oceania",Oceania,,2015-12,43
S. Africa,Africa,,2015-12,0
Singapore,Asia,Southeast Asia,2015-12,13
Thailand,Asia,Southeast Asia,2015-12,11
Belgium,Europe,,2015-12,0
"Others, America",America,,2016-01,1
Canada,America,,2016-01,8
United States of America,America,,2016-01,38
Mexico,America,,2016-01,0
Brazil,America,,2016-01,0
Argentina,America,,2016-01,0
Belgium,Europe,,2016-01,2
France,Europe,,2016-01,2
Germany,Europe,,2016-01,1
Italy,Europe,,2016-01,0
Netherlands,Europe,,2016-01,0
Switzerland,Europe,,2016-01,0
Spain,Europe,,2016-01,0
United Kingdom,Europe,,2016-01,0
Austria,Europe,,2016-01,0
Greece,Europe,,2016-01,0
Sweden,Europe,,2016-01,0
Russian Federation,Europe,,2016-01,2
"Others, Europe",Europe,,2016-01,2
Australia,Oceania,,2016-01,6
New Zealand,Oceania,,2016-01,0
"Others, Oceania",Oceania,,2016-01,51
S. Africa,Africa,,2016-01,0
Unstated,,,2016-01,0
"Others, Asia",Asia,,2016-01,22
"Others, Southeast Asia",Asia,Southeast Asia,2016-01,86
"Others, Africa",Africa,,2016-01,1
Thailand,Asia,Southeast Asia,2016-01,8
Vietnam,Asia,Southeast Asia,2016-01,11
HongKong. Macao,Asia,,2016-01,198
Mainland China,Asia,,2016-01,2495
"Korea,Republic of",Asia,,2016-01,12
India,Asia,,2016-01,8
Japan,Asia,,2016-01,10
Middle East,Asia,,2016-01,2
Malaysia,Asia,Southeast Asia,2016-01,53
Singapore,Asia,Southeast Asia,2016-01,12
Indonesia,Asia,Southeast Asia,2016-01,25
Philippines,Asia,Southeast Asia,2016-01,21
United Kingdom,Europe,,2016-02,4
France,Europe,,2016-02,0
Germany,Europe,,2016-02,0
Netherlands,Europe,,2016-02,0
Switzerland,Europe,,2016-02,0
Spain,Europe,,2016-02,0
Belgium,Europe,,2016-02,1
Austria,Europe,,2016-02,0
New Zealand,Oceania,,2016-02,0
Unstated,,,2016-02,0
"Others, Africa",Africa,,2016-02,2
S. Africa,Africa,,2016-02,0
"Others, Oceania",Oceania,,2016-02,44
"Others, America",America,,2016-02,0
Australia,Oceania,,2016-02,3
"Others, Europe",Europe,,2016-02,1
Russian Federation,Europe,,2016-02,0
Sweden,Europe,,2016-02,0
Greece,Europe,,2016-02,0
Argentina,America,,2016-02,0
Italy,Europe,,2016-02,1
Mexico,America,,2016-02,0
Vietnam,Asia,Southeast Asia,2016-02,9
Thailand,Asia,Southeast Asia,2016-02,7
Philippines,Asia,Southeast Asia,2016-02,8
Indonesia,Asia,Southeast Asia,2016-02,34
Singapore,Asia,Southeast Asia,2016-02,19
Malaysia,Asia,Southeast Asia,2016-02,32
Brazil,America,,2016-02,0
India,Asia,,2016-02,3
Middle East,Asia,,2016-02,1
Canada,America,,2016-02,10
"Korea,Republic of",Asia,,2016-02,9
"Others, Asia",Asia,,2016-02,21
"Others, Southeast Asia",Asia,Southeast Asia,2016-02,86
HongKong. Macao,Asia,,2016-02,120
Mainland China,Asia,,2016-02,1449
Japan,Asia,,2016-02,4
United States of America,America,,2016-02,17
Mainland China,Asia,,2016-03,2691
"Others, Southeast Asia",Asia,Southeast Asia,2016-03,108
"Others, Asia",Asia,,2016-03,18
United States of America,America,,2016-03,31
Mexico,America,,2016-03,1
Brazil,America,,2016-03,0
Argentina,America,,2016-03,0
"Others, America",America,,2016-03,1
Belgium,Europe,,2016-03,0
France,Europe,,2016-03,0
Canada,America,,2016-03,5
Vietnam,Asia,Southeast Asia,2016-03,28
HongKong. Macao,Asia,,2016-03,219
Germany,Europe,,2016-03,1
Thailand,Asia,Southeast Asia,2016-03,8
Philippines,Asia,Southeast Asia,2016-03,28
Indonesia,Asia,Southeast Asia,2016-03,40
Singapore,Asia,Southeast Asia,2016-03,16
Malaysia,Asia,Southeast Asia,2016-03,90
Middle East,Asia,,2016-03,2
India,Asia,,2016-03,2
"Korea,Republic of",Asia,,2016-03,9
Japan,Asia,,2016-03,6
Unstated,,,2016-03,0
Italy,Europe,,2016-03,0
"Others, Africa",Africa,,2016-03,0
Switzerland,Europe,,2016-03,0
"Others, Oceania",Oceania,,2016-03,71
New Zealand,Oceania,,2016-03,2
Australia,Oceania,,2016-03,7
"Others, Europe",Europe,,2016-03,3
Russian Federation,Europe,,2016-03,0
Sweden,Europe,,2016-03,0
Greece,Europe,,2016-03,0
S. Africa,Africa,,2016-03,0
Netherlands,Europe,,2016-03,1
Austria,Europe,,2016-03,0
United Kingdom,Europe,,2016-03,1
Spain,Europe,,2016-03,0
France,Europe,,2016-04,1
Germany,Europe,,2016-04,2
Italy,Europe,,2016-04,0
Netherlands,Europe,,2016-04,0
Switzerland,Europe,,2016-04,1
Spain,Europe,,2016-04,0
United Kingdom,Europe,,2016-04,2
Austria,Europe,,2016-04,0
New Zealand,Oceania,,2016-04,0
Australia,Oceania,,2016-04,5
Russian Federation,Europe,,2016-04,2
"Others, Europe",Europe,,2016-04,0
Mainland China,Asia,,2016-04,4942
Belgium,Europe,,2016-04,0
S. Africa,Africa,,2016-04,0
"Others, Oceania",Oceania,,2016-04,41
Greece,Europe,,2016-04,0
Sweden,Europe,,2016-04,0
United States of America,America,,2016-04,28
Argentina,America,,2016-04,0
Japan,Asia,,2016-04,11
"Korea,Republic of",Asia,,2016-04,4
India,Asia,,2016-04,3
Middle East,Asia,,2016-04,1
Malaysia,Asia,Southeast Asia,2016-04,51
Singapore,Asia,Southeast Asia,2016-04,14
Indonesia,Asia,Southeast Asia,2016-04,42
"Others, America",America,,2016-04,0
Philippines,Asia,Southeast Asia,2016-04,17
Vietnam,Asia,Southeast Asia,2016-04,12
"Others, Southeast Asia",Asia,Southeast Asia,2016-04,244
"Others, Asia",Asia,,2016-04,20
Canada,America,,2016-04,5
"Others, Africa",Africa,,2016-04,0
Mexico,America,,2016-04,0
Brazil,America,,2016-04,0
Thailand,Asia,Southeast Asia,2016-04,4
Unstated,,,2016-04,0
HongKong. Macao,Asia,,2016-04,241
France,Europe,,2016-05,0
Belgium,Europe,,2016-05,0
Germany,Europe,,2016-05,2
Italy,Europe,,2016-05,0
Netherlands,Europe,,2016-05,3
Switzerland,Europe,,2016-05,1
Spain,Europe,,2016-05,0
United Kingdom,Europe,,2016-05,1
Austria,Europe,,2016-05,0
Greece,Europe,,2016-05,1
Sweden,Europe,,2016-05,0
Russian Federation,Europe,,2016-05,2
"Others, Europe",Europe,,2016-05,0
Australia,Oceania,,2016-05,3
New Zealand,Oceania,,2016-05,0
"Others, Oceania",Oceania,,2016-05,27
S. Africa,Africa,,2016-05,0
"Others, Africa",Africa,,2016-05,9
"Others, America",America,,2016-05,2
Unstated,,,2016-05,0
Argentina,America,,2016-05,0
Indonesia,Asia,Southeast Asia,2016-05,37
"Korea,Republic of",Asia,,2016-05,2
India,Asia,,2016-05,5
Middle East,Asia,,2016-05,5
Malaysia,Asia,Southeast Asia,2016-05,75
Singapore,Asia,Southeast Asia,2016-05,14
Brazil,America,,2016-05,0
Philippines,Asia,Southeast Asia,2016-05,16
Thailand,Asia,Southeast Asia,2016-05,10
Vietnam,Asia,Southeast Asia,2016-05,14
"Others, Southeast Asia",Asia,Southeast Asia,2016-05,93
"Others, Asia",Asia,,2016-05,23
Canada,America,,2016-05,2
HongKong. Macao,Asia,,2016-05,212
United States of America,America,,2016-05,28
Mexico,America,,2016-05,0
Japan,Asia,,2016-05,11
Mainland China,Asia,,2016-05,4200
"Others, Southeast Asia",Asia,Southeast Asia,2016-06,115
"Others, Asia",Asia,,2016-06,24
Vietnam,Asia,Southeast Asia,2016-06,20
Middle East,Asia,,2016-06,4
Malaysia,Asia,Southeast Asia,2016-06,66
Indonesia,Asia,Southeast Asia,2016-06,45
Canada,America,,2016-06,7
Mainland China,Asia,,2016-06,2491
HongKong. Macao,Asia,,2016-06,205
Philippines,Asia,Southeast Asia,2016-06,13
United States of America,America,,2016-06,36
Thailand,Asia,Southeast Asia,2016-06,9
Brazil,America,,2016-06,0
Singapore,Asia,Southeast Asia,2016-06,14
Mexico,America,,2016-06,1
Unstated,,,2016-06,0
"Others, Africa",Africa,,2016-06,0
S. Africa,Africa,,2016-06,0
"Others, Oceania",Oceania,,2016-06,34
New Zealand,Oceania,,2016-06,1
"Korea,Republic of",Asia,,2016-06,7
"Others, Europe",Europe,,2016-06,1
Russian Federation,Europe,,2016-06,0
Sweden,Europe,,2016-06,1
Japan,Asia,,2016-06,7
India,Asia,,2016-06,4
Austria,Europe,,2016-06,0
Argentina,America,,2016-06,0
Greece,Europe,,2016-06,0
"Others, America",America,,2016-06,2
Belgium,Europe,,2016-06,0
France,Europe,,2016-06,2
Germany,Europe,,2016-06,1
Australia,Oceania,,2016-06,5
Netherlands,Europe,,2016-06,0
United Kingdom,Europe,,2016-06,1
Spain,Europe,,2016-06,0
Switzerland,Europe,,2016-06,0
Italy,Europe,,2016-06,0
"Others, America",America,,2016-07,1
Argentina,America,,2016-07,0
Brazil,America,,2016-07,0
Mexico,America,,2016-07,0
United States of America,America,,2016-07,21
Canada,America,,2016-07,7
"Others, Asia",Asia,,2016-07,13
Vietnam,Asia,Southeast Asia,2016-07,20
Thailand,Asia,Southeast Asia,2016-07,5
Philippines,Asia,Southeast Asia,2016-07,11
Indonesia,Asia,Southeast Asia,2016-07,27
Singapore,Asia,Southeast Asia,2016-07,10
Malaysia,Asia,Southeast Asia,2016-07,60
Middle East,Asia,,2016-07,2
"Others, Southeast Asia",Asia,Southeast Asia,2016-07,65
Belgium,Europe,,2016-07,0
Germany,Europe,,2016-07,0
Italy,Europe,,2016-07,1
"Others, Europe",Europe,,2016-07,4
Russian Federation,Europe,,2016-07,0
Australia,Oceania,,2016-07,3
New Zealand,Oceania,,2016-07,0
"Others, Oceania",Oceania,,2016-07,47
S. Africa,Africa,,2016-07,0
France,Europe,,2016-07,0
"Others, Africa",Africa,,2016-07,1
Sweden,Europe,,2016-07,0
Greece,Europe,,2016-07,0
Austria,Europe,,2016-07,0
United Kingdom,Europe,,2016-07,1
Spain,Europe,,2016-07,0
Netherlands,Europe,,2016-07,0
HongKong. Macao,Asia,,2016-07,192
Switzerland,Europe,,2016-07,2
"Korea,Republic of",Asia,,2016-07,7
Unstated,,,2016-07,0
India,Asia,,2016-07,2
Japan,Asia,,2016-07,11
Mainland China,Asia,,2016-07,2422
Vietnam,Asia,Southeast Asia,2016-08,17
"Korea,Republic of",Asia,,2016-08,2
India,Asia,,2016-08,0
Middle East,Asia,,2016-08,4
Malaysia,Asia,Southeast Asia,2016-08,54
Singapore,Asia,Southeast Asia,2016-08,10
Indonesia,Asia,Southeast Asia,2016-08,56
Philippines,Asia,Southeast Asia,2016-08,24
HongKong. Macao,Asia,,2016-08,191
Mainland China,Asia,,2016-08,1759
Brazil,America,,2016-08,0
Mexico,America,,2016-08,0
United States of America,America,,2016-08,38
Canada,America,,2016-08,5
"Others, Asia",Asia,,2016-08,17
"Others, Southeast Asia",Asia,Southeast Asia,2016-08,131
Thailand,Asia,Southeast Asia,2016-08,4
Argentina,America,,2016-08,0
Japan,Asia,,2016-08,14
Austria,Europe,,2016-08,0
"Others, Oceania",Oceania,,2016-08,41
S. Africa,Africa,,2016-08,0
"Others, Africa",Africa,,2016-08,2
"Others, America",America,,2016-08,0
"Others, Europe",Europe,,2016-08,0
Russian Federation,Europe,,2016-08,0
Sweden,Europe,,2016-08,0
Greece,Europe,,2016-08,0
New Zealand,Oceania,,2016-08,2
Australia,Oceania,,2016-08,7
Spain,Europe,,2016-08,0
Switzerland,Europe,,2016-08,0
Netherlands,Europe,,2016-08,0
Italy,Europe,,2016-08,1
Germany,Europe,,2016-08,0
France,Europe,,2016-08,2
Belgium,Europe,,2016-08,0
Unstated,,,2016-08,0
United Kingdom,Europe,,2016-08,1
Austria,Europe,,2016-09,1
United Kingdom,Europe,,2016-09,0
Unstated,,,2016-09,0
"Others, Oceania",Oceania,,2016-09,50
Sweden,Europe,,2016-09,0
Russian Federation,Europe,,2016-09,0
"Others, Europe",Europe,,2016-09,2
Australia,Oceania,,2016-09,7
New Zealand,Oceania,,2016-09,0
S. Africa,Africa,,2016-09,1
"Others, Africa",Africa,,2016-09,0
Greece,Europe,,2016-09,0
Belgium,Europe,,2016-09,0
France,Europe,,2016-09,0
Canada,America,,2016-09,10
Singapore,Asia,Southeast Asia,2016-09,21
Indonesia,Asia,Southeast Asia,2016-09,43
Philippines,Asia,Southeast Asia,2016-09,45
Thailand,Asia,Southeast Asia,2016-09,9
Vietnam,Asia,Southeast Asia,2016-09,17
"Others, Southeast Asia",Asia,Southeast Asia,2016-09,106
"Others, Asia",Asia,,2016-09,3
HongKong. Macao,Asia,,2016-09,192
United States of America,America,,2016-09,30
Mexico,America,,2016-09,0
Malaysia,Asia,Southeast Asia,2016-09,49
Brazil,America,,2016-09,0
"Others, America",America,,2016-09,2
Spain,Europe,,2016-09,0
Switzerland,Europe,,2016-09,0
Netherlands,Europe,,2016-09,0
Italy,Europe,,2016-09,1
India,Asia,,2016-09,2
Germany,Europe,,2016-09,3
"Korea,Republic of",Asia,,2016-09,12
Japan,Asia,,2016-09,14
Mainland China,Asia,,2016-09,1823
Argentina,America,,2016-09,0
Middle East,Asia,,2016-09,6
Argentina,America,,2016-10,0
Sweden,Europe,,2016-10,0
Russian Federation,Europe,,2016-10,3
"Others, Europe",Europe,,2016-10,2
Unstated,,,2016-10,1
HongKong. Macao,Asia,,2016-10,212
Mainland China,Asia,,2016-10,2260
Japan,Asia,,2016-10,10
"Others, America",America,,2016-10,0
Belgium,Europe,,2016-10,0
Mexico,America,,2016-10,0
Germany,Europe,,2016-10,0
Italy,Europe,,2016-10,0
United States of America,America,,2016-10,26
Netherlands,Europe,,2016-10,0
Switzerland,Europe,,2016-10,0
Spain,Europe,,2016-10,1
United Kingdom,Europe,,2016-10,2
Austria,Europe,,2016-10,0
Greece,Europe,,2016-10,0
"Others, Africa",Africa,,2016-10,3
Canada,America,,2016-10,7
"Others, Asia",Asia,,2016-10,14
"Others, Southeast Asia",Asia,Southeast Asia,2016-10,183
Vietnam,Asia,Southeast Asia,2016-10,19
