Residence,Region,Sub-Region,Period,Visit Relatives
"Others, Asia",Asia,,2014-03,28
S. Africa,Africa,,2014-03,48
Vietnam,Asia,Southeast Asia,2014-03,1432
Thailand,Asia,Southeast Asia,2014-03,376
Philippines,Asia,Southeast Asia,2014-03,344
Indonesia,Asia,Southeast Asia,2014-03,547
"Others, Africa",Africa,,2014-03,17
"Others, America",America,,2014-03,43
"Others, Southeast Asia",Asia,Southeast Asia,2014-03,67
Belgium,Europe,,2014-03,42
United Kingdom,Europe,,2014-03,332
Singapore,Asia,Southeast Asia,2014-03,992
"Others, Oceania",Oceania,,2014-03,12
New Zealand,Oceania,,2014-03,161
Australia,Oceania,,2014-03,822
"Others, Europe",Europe,,2014-03,136
Russian Federation,Europe,,2014-03,40
Sweden,Europe,,2014-03,36
Greece,Europe,,2014-03,5
Austria,Europe,,2014-03,51
Spain,Europe,,2014-03,50
France,Europe,,2014-03,293
Switzerland,Europe,,2014-03,59
Italy,Europe,,2014-03,61
Germany,Europe,,2014-03,258
HongKong. Macao,Asia,,2014-03,2463
Mainland China,Asia,,2014-03,4631
Japan,Asia,,2014-03,2222
"Korea,Republic of",Asia,,2014-03,909
India,Asia,,2014-03,71
Middle East,Asia,,2014-03,36
Malaysia,Asia,Southeast Asia,2014-03,1083
Netherlands,Europe,,2014-03,84
Unstated,,,2014-03,9
Unstated,,,2014-04,14
"Others, Africa",Africa,,2014-04,30
Australia,Oceania,,2014-04,1256
"Others, America",America,,2014-04,66
Belgium,Europe,,2014-04,65
France,Europe,,2014-04,397
Germany,Europe,,2014-04,378
Italy,Europe,,2014-04,65
Netherlands,Europe,,2014-04,144
Argentina,America,,2014-04,5
Switzerland,Europe,,2014-04,112
United Kingdom,Europe,,2014-04,482
Austria,Europe,,2014-04,52
Greece,Europe,,2014-04,5
Sweden,Europe,,2014-04,32
Russian Federation,Europe,,2014-04,38
"Others, Europe",Europe,,2014-04,150
Spain,Europe,,2014-04,66
New Zealand,Oceania,,2014-04,273
Brazil,America,,2014-04,40
United States of America,America,,2014-04,10811
Mainland China,Asia,,2014-04,4584
HongKong. Macao,Asia,,2014-04,3545
"Korea,Republic of",Asia,,2014-04,978
India,Asia,,2014-04,86
Middle East,Asia,,2014-04,51
Malaysia,Asia,Southeast Asia,2014-04,1055
Mexico,America,,2014-04,32
Singapore,Asia,Southeast Asia,2014-04,921
Philippines,Asia,Southeast Asia,2014-04,638
Thailand,Asia,Southeast Asia,2014-04,648
Vietnam,Asia,Southeast Asia,2014-04,1174
"Others, Southeast Asia",Asia,Southeast Asia,2014-04,124
"Others, Asia",Asia,,2014-04,72
Canada,America,,2014-04,1123
Indonesia,Asia,Southeast Asia,2014-04,486
"Others, Oceania",Oceania,,2014-04,6
Japan,Asia,,2014-04,1628
S. Africa,Africa,,2014-04,35
Japan,Asia,,2014-05,1549
France,Europe,,2014-05,286
Germany,Europe,,2014-05,191
Italy,Europe,,2014-05,66
Netherlands,Europe,,2014-05,65
Australia,Oceania,,2014-05,738
Switzerland,Europe,,2014-05,54
Spain,Europe,,2014-05,50
United Kingdom,Europe,,2014-05,275
Austria,Europe,,2014-05,58
Sweden,Europe,,2014-05,31
Russian Federation,Europe,,2014-05,22
S. Africa,Africa,,2014-05,25
"Others, Europe",Europe,,2014-05,103
New Zealand,Oceania,,2014-05,208
"Others, Oceania",Oceania,,2014-05,11
"Others, Africa",Africa,,2014-05,14
Greece,Europe,,2014-05,4
Belgium,Europe,,2014-05,22
"Others, America",America,,2014-05,67
Brazil,America,,2014-05,52
Unstated,,,2014-05,2
"Korea,Republic of",Asia,,2014-05,1043
India,Asia,,2014-05,115
Middle East,Asia,,2014-05,41
Malaysia,Asia,Southeast Asia,2014-05,1180
Singapore,Asia,Southeast Asia,2014-05,1142
Indonesia,Asia,Southeast Asia,2014-05,634
Mainland China,Asia,,2014-05,4082
HongKong. Macao,Asia,,2014-05,2763
Thailand,Asia,Southeast Asia,2014-05,362
Vietnam,Asia,Southeast Asia,2014-05,1324
"Others, Southeast Asia",Asia,Southeast Asia,2014-05,96
"Others, Asia",Asia,,2014-05,34
Canada,America,,2014-05,1256
United States of America,America,,2014-05,11546
Mexico,America,,2014-05,8
Philippines,Asia,Southeast Asia,2014-05,506
Argentina,America,,2014-05,7
United Kingdom,Europe,,2014-06,218
Mainland China,Asia,,2014-06,4879
Sweden,Europe,,2014-06,86
Canada,America,,2014-06,1083
United States of America,America,,2014-06,14111
Mexico,America,,2014-06,18
Brazil,America,,2014-06,34
Argentina,America,,2014-06,9
"Others, America",America,,2014-06,76
Belgium,Europe,,2014-06,46
France,Europe,,2014-06,290
Germany,Europe,,2014-06,169
Italy,Europe,,2014-06,74
Netherlands,Europe,,2014-06,69
Switzerland,Europe,,2014-06,48
Greece,Europe,,2014-06,2
Austria,Europe,,2014-06,34
Russian Federation,Europe,,2014-06,20
"Others, Europe",Europe,,2014-06,134
Australia,Oceania,,2014-06,843
New Zealand,Oceania,,2014-06,162
Japan,Asia,,2014-06,1264
"Korea,Republic of",Asia,,2014-06,877
India,Asia,,2014-06,69
Middle East,Asia,,2014-06,56
Malaysia,Asia,Southeast Asia,2014-06,1293
Singapore,Asia,Southeast Asia,2014-06,1296
Indonesia,Asia,Southeast Asia,2014-06,927
HongKong. Macao,Asia,,2014-06,3175
Philippines,Asia,Southeast Asia,2014-06,363
Spain,Europe,,2014-06,67
"Others, Southeast Asia",Asia,Southeast Asia,2014-06,114
"Others, Asia",Asia,,2014-06,41
Unstated,,,2014-06,5
"Others, Africa",Africa,,2014-06,28
S. Africa,Africa,,2014-06,39
"Others, Oceania",Oceania,,2014-06,14
Thailand,Asia,Southeast Asia,2014-06,317
Vietnam,Asia,Southeast Asia,2014-06,1573
Netherlands,Europe,,2014-07,194
Switzerland,Europe,,2014-07,131
Argentina,America,,2014-07,5
"Others, America",America,,2014-07,77
Belgium,Europe,,2014-07,83
France,Europe,,2014-07,585
Germany,Europe,,2014-07,344
Italy,Europe,,2014-07,87
Spain,Europe,,2014-07,89
United Kingdom,Europe,,2014-07,474
Austria,Europe,,2014-07,79
Greece,Europe,,2014-07,5
Sweden,Europe,,2014-07,53
Russian Federation,Europe,,2014-07,31
"Others, Europe",Europe,,2014-07,125
Australia,Oceania,,2014-07,706
New Zealand,Oceania,,2014-07,201
"Others, Oceania",Oceania,,2014-07,4
S. Africa,Africa,,2014-07,57
"Others, Africa",Africa,,2014-07,21
Unstated,,,2014-07,2
Mexico,America,,2014-07,22
United States of America,America,,2014-07,12818
Brazil,America,,2014-07,34
"Others, Asia",Asia,,2014-07,16
HongKong. Macao,Asia,,2014-07,3351
Mainland China,Asia,,2014-07,7611
Canada,America,,2014-07,1404
"Korea,Republic of",Asia,,2014-07,1111
India,Asia,,2014-07,59
Middle East,Asia,,2014-07,47
Malaysia,Asia,Southeast Asia,2014-07,1067
Japan,Asia,,2014-07,2000
Indonesia,Asia,Southeast Asia,2014-07,906
Philippines,Asia,Southeast Asia,2014-07,277
Thailand,Asia,Southeast Asia,2014-07,314
Vietnam,Asia,Southeast Asia,2014-07,1382
"Others, Southeast Asia",Asia,Southeast Asia,2014-07,122
Singapore,Asia,Southeast Asia,2014-07,820
Malaysia,Asia,Southeast Asia,2014-08,856
Thailand,Asia,Southeast Asia,2014-08,287
Philippines,Asia,Southeast Asia,2014-08,293
Indonesia,Asia,Southeast Asia,2014-08,589
Austria,Europe,,2014-08,62
HongKong. Macao,Asia,,2014-08,3666
India,Asia,,2014-08,72
Japan,Asia,,2014-08,2467
"Korea,Republic of",Asia,,2014-08,1167
Middle East,Asia,,2014-08,71
Vietnam,Asia,Southeast Asia,2014-08,1240
Singapore,Asia,Southeast Asia,2014-08,717
Mainland China,Asia,,2014-08,5769
"Others, Southeast Asia",Asia,Southeast Asia,2014-08,99
New Zealand,Oceania,,2014-08,136
Canada,America,,2014-08,1143
United States of America,America,,2014-08,9322
Mexico,America,,2014-08,7
Brazil,America,,2014-08,25
Greece,Europe,,2014-08,9
Argentina,America,,2014-08,6
"Others, America",America,,2014-08,65
Belgium,Europe,,2014-08,25
France,Europe,,2014-08,431
Germany,Europe,,2014-08,367
Italy,Europe,,2014-08,93
Netherlands,Europe,,2014-08,112
Switzerland,Europe,,2014-08,34
"Others, Asia",Asia,,2014-08,28
"Others, Oceania",Oceania,,2014-08,4
United Kingdom,Europe,,2014-08,341
Spain,Europe,,2014-08,86
Australia,Oceania,,2014-08,573
"Others, Europe",Europe,,2014-08,103
Russian Federation,Europe,,2014-08,14
Sweden,Europe,,2014-08,33
S. Africa,Africa,,2014-08,37
"Others, Africa",Africa,,2014-08,16
Unstated,,,2014-08,2
Vietnam,Asia,Southeast Asia,2014-09,1086
"Others, Southeast Asia",Asia,Southeast Asia,2014-09,79
"Others, Asia",Asia,,2014-09,14
Canada,America,,2014-09,980
France,Europe,,2014-09,214
Mexico,America,,2014-09,16
Brazil,America,,2014-09,43
Thailand,Asia,Southeast Asia,2014-09,253
United States of America,America,,2014-09,7676
Philippines,Asia,Southeast Asia,2014-09,256
Middle East,Asia,,2014-09,42
Singapore,Asia,Southeast Asia,2014-09,900
Malaysia,Asia,Southeast Asia,2014-09,1158
Argentina,America,,2014-09,7
India,Asia,,2014-09,76
"Korea,Republic of",Asia,,2014-09,918
Japan,Asia,,2014-09,1350
Mainland China,Asia,,2014-09,5852
HongKong. Macao,Asia,,2014-09,4340
Indonesia,Asia,Southeast Asia,2014-09,561
Belgium,Europe,,2014-09,23
Austria,Europe,,2014-09,34
"Others, Europe",Europe,,2014-09,109
New Zealand,Oceania,,2014-09,229
Australia,Oceania,,2014-09,932
"Others, Africa",Africa,,2014-09,10
Russian Federation,Europe,,2014-09,25
Sweden,Europe,,2014-09,30
Unstated,,,2014-09,0
"Others, Oceania",Oceania,,2014-09,3
Greece,Europe,,2014-09,3
United Kingdom,Europe,,2014-09,281
Spain,Europe,,2014-09,42
Switzerland,Europe,,2014-09,34
Netherlands,Europe,,2014-09,66
Italy,Europe,,2014-09,60
Germany,Europe,,2014-09,218
"Others, America",America,,2014-09,57
S. Africa,Africa,,2014-09,25
"Korea,Republic of",Asia,,2014-10,1080
Japan,Asia,,2014-10,1342
Mainland China,Asia,,2014-10,4753
"Others, Southeast Asia",Asia,Southeast Asia,2014-10,100
"Others, Oceania",Oceania,,2014-10,12
India,Asia,,2014-10,66
Unstated,,,2014-10,0
HongKong. Macao,Asia,,2014-10,2698
Middle East,Asia,,2014-10,73
Malaysia,Asia,Southeast Asia,2014-10,1055
Singapore,Asia,Southeast Asia,2014-10,1045
"Others, Asia",Asia,,2014-10,32
Canada,America,,2014-10,1311
United States of America,America,,2014-10,9893
Mexico,America,,2014-10,20
Brazil,America,,2014-10,34
Argentina,America,,2014-10,10
"Others, America",America,,2014-10,88
Belgium,Europe,,2014-10,26
France,Europe,,2014-10,354
Germany,Europe,,2014-10,271
Thailand,Asia,Southeast Asia,2014-10,505
Vietnam,Asia,Southeast Asia,2014-10,1028
Netherlands,Europe,,2014-10,74
Spain,Europe,,2014-10,53
United Kingdom,Europe,,2014-10,389
Austria,Europe,,2014-10,41
Greece,Europe,,2014-10,1
Sweden,Europe,,2014-10,45
Russian Federation,Europe,,2014-10,31
Philippines,Asia,Southeast Asia,2014-10,363
Indonesia,Asia,Southeast Asia,2014-10,715
"Others, Europe",Europe,,2014-10,157
Australia,Oceania,,2014-10,839
New Zealand,Oceania,,2014-10,225
Switzerland,Europe,,2014-10,84
Italy,Europe,,2014-10,50
"Others, Africa",Africa,,2014-10,14
S. Africa,Africa,,2014-10,36
Belgium,Europe,,2014-11,26
Canada,America,,2014-11,1258
"Others, Asia",Asia,,2014-11,30
"Others, Southeast Asia",Asia,Southeast Asia,2014-11,73
Vietnam,Asia,Southeast Asia,2014-11,903
Thailand,Asia,Southeast Asia,2014-11,429
Philippines,Asia,Southeast Asia,2014-11,289
Indonesia,Asia,Southeast Asia,2014-11,521
Singapore,Asia,Southeast Asia,2014-11,1455
Middle East,Asia,,2014-11,40
India,Asia,,2014-11,74
"Korea,Republic of",Asia,,2014-11,1079
Japan,Asia,,2014-11,1400
Mainland China,Asia,,2014-11,4453
HongKong. Macao,Asia,,2014-11,2590
Unstated,,,2014-11,2
France,Europe,,2014-11,263
United States of America,America,,2014-11,11317
Mexico,America,,2014-11,11
Malaysia,Asia,Southeast Asia,2014-11,1383
Argentina,America,,2014-11,6
Italy,Europe,,2014-11,54
Germany,Europe,,2014-11,213
Brazil,America,,2014-11,32
Netherlands,Europe,,2014-11,65
Switzerland,Europe,,2014-11,41
Spain,Europe,,2014-11,48
Austria,Europe,,2014-11,35
Greece,Europe,,2014-11,2
Sweden,Europe,,2014-11,43
United Kingdom,Europe,,2014-11,273
Russian Federation,Europe,,2014-11,27
"Others, America",America,,2014-11,58
"Others, Africa",Africa,,2014-11,21
S. Africa,Africa,,2014-11,39
"Others, Oceania",Oceania,,2014-11,5
Australia,Oceania,,2014-11,849
"Others, Europe",Europe,,2014-11,124
New Zealand,Oceania,,2014-11,232
"Others, America",America,,2014-12,72
Belgium,Europe,,2014-12,45
France,Europe,,2014-12,405
Argentina,America,,2014-12,26
Germany,Europe,,2014-12,338
Spain,Europe,,2014-12,108
Netherlands,Europe,,2014-12,165
Switzerland,Europe,,2014-12,76
United Kingdom,Europe,,2014-12,467
"Others, Oceania",Oceania,,2014-12,21
Greece,Europe,,2014-12,5
Sweden,Europe,,2014-12,95
Russian Federation,Europe,,2014-12,11
"Others, Europe",Europe,,2014-12,176
Australia,Oceania,,2014-12,2175
New Zealand,Oceania,,2014-12,633
Unstated,,,2014-12,2
"Others, Africa",Africa,,2014-12,17
S. Africa,Africa,,2014-12,137
Brazil,America,,2014-12,135
Austria,Europe,,2014-12,75
Mexico,America,,2014-12,34
Italy,Europe,,2014-12,89
Canada,America,,2014-12,1880
United States of America,America,,2014-12,17289
Mainland China,Asia,,2014-12,4911
Japan,Asia,,2014-12,2549
"Korea,Republic of",Asia,,2014-12,1245
India,Asia,,2014-12,77
Middle East,Asia,,2014-12,51
Malaysia,Asia,Southeast Asia,2014-12,1869
HongKong. Macao,Asia,,2014-12,4173
Indonesia,Asia,Southeast Asia,2014-12,802
Philippines,Asia,Southeast Asia,2014-12,632
Thailand,Asia,Southeast Asia,2014-12,659
Vietnam,Asia,Southeast Asia,2014-12,1059
"Others, Southeast Asia",Asia,Southeast Asia,2014-12,130
Singapore,Asia,Southeast Asia,2014-12,1768
"Others, Asia",Asia,,2014-12,81
HongKong. Macao,Asia,,2015-01,2317
Belgium,Europe,,2015-01,19
France,Europe,,2015-01,234
Germany,Europe,,2015-01,180
Italy,Europe,,2015-01,72
Switzerland,Europe,,2015-01,58
Netherlands,Europe,,2015-01,61
Spain,Europe,,2015-01,51
United Kingdom,Europe,,2015-01,262
Austria,Europe,,2015-01,57
Mainland China,Asia,,2015-01,5027
Argentina,America,,2015-01,30
Japan,Asia,,2015-01,1411
Thailand,Asia,Southeast Asia,2015-01,307
India,Asia,,2015-01,49
Middle East,Asia,,2015-01,55
Malaysia,Asia,Southeast Asia,2015-01,744
Singapore,Asia,Southeast Asia,2015-01,763
Indonesia,Asia,Southeast Asia,2015-01,430
Philippines,Asia,Southeast Asia,2015-01,259
Sweden,Europe,,2015-01,34
Vietnam,Asia,Southeast Asia,2015-01,1000
"Others, Southeast Asia",Asia,Southeast Asia,2015-01,56
"Others, Asia",Asia,,2015-01,42
Canada,America,,2015-01,1068
United States of America,America,,2015-01,8443
Mexico,America,,2015-01,12
Brazil,America,,2015-01,78
"Korea,Republic of",Asia,,2015-01,1258
Russian Federation,Europe,,2015-01,18
Greece,Europe,,2015-01,2
Australia,Oceania,,2015-01,1326
"Others, Europe",Europe,,2015-01,123
Unstated,,,2015-01,1
"Others, Africa",Africa,,2015-01,23
"Others, America",America,,2015-01,63
"Others, Oceania",Oceania,,2015-01,10
New Zealand,Oceania,,2015-01,326
S. Africa,Africa,,2015-01,30
Russian Federation,Europe,,2015-02,19
"Others, Europe",Europe,,2015-02,234
Australia,Oceania,,2015-02,1158
New Zealand,Oceania,,2015-02,273
"Others, Oceania",Oceania,,2015-02,8
S. Africa,Africa,,2015-02,46
Sweden,Europe,,2015-02,87
Greece,Europe,,2015-02,5
Austria,Europe,,2015-02,84
United Kingdom,Europe,,2015-02,573
Switzerland,Europe,,2015-02,97
Netherlands,Europe,,2015-02,131
Germany,Europe,,2015-02,440
France,Europe,,2015-02,581
Belgium,Europe,,2015-02,46
"Others, America",America,,2015-02,66
Argentina,America,,2015-02,9
Brazil,America,,2015-02,44
Mexico,America,,2015-02,10
"Others, Africa",Africa,,2015-02,22
Unstated,,,2015-02,3
Spain,Europe,,2015-02,79
Italy,Europe,,2015-02,84
Philippines,Asia,Southeast Asia,2015-02,371
Canada,America,,2015-02,1724
HongKong. Macao,Asia,,2015-02,6566
Mainland China,Asia,,2015-02,8178
"Korea,Republic of",Asia,,2015-02,1288
India,Asia,,2015-02,57
Middle East,Asia,,2015-02,48
Malaysia,Asia,Southeast Asia,2015-02,1481
Japan,Asia,,2015-02,2042
Indonesia,Asia,Southeast Asia,2015-02,587
Thailand,Asia,Southeast Asia,2015-02,454
Vietnam,Asia,Southeast Asia,2015-02,952
"Others, Southeast Asia",Asia,Southeast Asia,2015-02,90
"Others, Asia",Asia,,2015-02,51
Singapore,Asia,Southeast Asia,2015-02,1553
United States of America,America,,2015-02,12424
New Zealand,Oceania,,2015-03,222
Japan,Asia,,2015-03,1902
Mainland China,Asia,,2015-03,5432
HongKong. Macao,Asia,,2015-03,3317
Unstated,,,2015-03,5
"Others, Africa",Africa,,2015-03,23
S. Africa,Africa,,2015-03,34
"Others, Oceania",Oceania,,2015-03,9
Greece,Europe,,2015-03,2
Switzerland,Europe,,2015-03,85
Spain,Europe,,2015-03,51
United Kingdom,Europe,,2015-03,404
"Others, Europe",Europe,,2015-03,140
Austria,Europe,,2015-03,50
"Korea,Republic of",Asia,,2015-03,961
Sweden,Europe,,2015-03,42
Russian Federation,Europe,,2015-03,14
Australia,Oceania,,2015-03,1016
India,Asia,,2015-03,55
Middle East,Asia,,2015-03,53
Malaysia,Asia,Southeast Asia,2015-03,1135
Italy,Europe,,2015-03,62
Netherlands,Europe,,2015-03,63
Belgium,Europe,,2015-03,43
"Others, America",America,,2015-03,38
Argentina,America,,2015-03,4
Germany,Europe,,2015-03,320
Mexico,America,,2015-03,18
United States of America,America,,2015-03,11093
Brazil,America,,2015-03,31
"Others, Asia",Asia,,2015-03,69
"Others, Southeast Asia",Asia,Southeast Asia,2015-03,99
Vietnam,Asia,Southeast Asia,2015-03,1049
Thailand,Asia,Southeast Asia,2015-03,516
Philippines,Asia,Southeast Asia,2015-03,401
Indonesia,Asia,Southeast Asia,2015-03,573
Singapore,Asia,Southeast Asia,2015-03,1079
Canada,America,,2015-03,1676
France,Europe,,2015-03,284
"Others, Asia",Asia,,2015-04,16
"Others, Southeast Asia",Asia,Southeast Asia,2015-04,111
Vietnam,Asia,Southeast Asia,2015-04,948
Thailand,Asia,Southeast Asia,2015-04,669
"Korea,Republic of",Asia,,2015-04,872
Indonesia,Asia,Southeast Asia,2015-04,526
Singapore,Asia,Southeast Asia,2015-04,928
Malaysia,Asia,Southeast Asia,2015-04,1009
Middle East,Asia,,2015-04,48
India,Asia,,2015-04,101
Canada,America,,2015-04,1172
Japan,Asia,,2015-04,1395
Philippines,Asia,Southeast Asia,2015-04,484
United States of America,America,,2015-04,10553
"Others, Europe",Europe,,2015-04,122
Brazil,America,,2015-04,44
Unstated,,,2015-04,2
"Others, Africa",Africa,,2015-04,24
S. Africa,Africa,,2015-04,38
"Others, Oceania",Oceania,,2015-04,9
New Zealand,Oceania,,2015-04,224
Australia,Oceania,,2015-04,834
Russian Federation,Europe,,2015-04,9
Sweden,Europe,,2015-04,50
Greece,Europe,,2015-04,2
Austria,Europe,,2015-04,43
United Kingdom,Europe,,2015-04,369
Spain,Europe,,2015-04,43
Switzerland,Europe,,2015-04,73
Netherlands,Europe,,2015-04,111
Italy,Europe,,2015-04,77
Germany,Europe,,2015-04,203
France,Europe,,2015-04,447
Belgium,Europe,,2015-04,46
"Others, America",America,,2015-04,47
Mexico,America,,2015-04,15
Argentina,America,,2015-04,5
HongKong. Macao,Asia,,2015-04,3620
Mainland China,Asia,,2015-04,5178
Argentina,America,,2015-05,11
Germany,Europe,,2015-05,178
Italy,Europe,,2015-05,52
Netherlands,Europe,,2015-05,61
Switzerland,Europe,,2015-05,61
Spain,Europe,,2015-05,47
United Kingdom,Europe,,2015-05,257
France,Europe,,2015-05,230
Austria,Europe,,2015-05,37
Sweden,Europe,,2015-05,27
Russian Federation,Europe,,2015-05,16
"Others, Europe",Europe,,2015-05,119
Australia,Oceania,,2015-05,834
New Zealand,Oceania,,2015-05,193
"Others, Oceania",Oceania,,2015-05,8
S. Africa,Africa,,2015-05,23
Greece,Europe,,2015-05,1
"Others, Africa",Africa,,2015-05,23
Belgium,Europe,,2015-05,23
Brazil,America,,2015-05,22
Mainland China,Asia,,2015-05,4488
Japan,Asia,,2015-05,1370
"Korea,Republic of",Asia,,2015-05,1194
India,Asia,,2015-05,122
Middle East,Asia,,2015-05,46
Malaysia,Asia,Southeast Asia,2015-05,1170
Singapore,Asia,Southeast Asia,2015-05,1072
"Others, America",America,,2015-05,57
Indonesia,Asia,Southeast Asia,2015-05,580
Thailand,Asia,Southeast Asia,2015-05,351
Vietnam,Asia,Southeast Asia,2015-05,1383
"Others, Southeast Asia",Asia,Southeast Asia,2015-05,85
"Others, Asia",Asia,,2015-05,28
Canada,America,,2015-05,1261
United States of America,America,,2015-05,11268
Mexico,America,,2015-05,18
Philippines,Asia,Southeast Asia,2015-05,513
HongKong. Macao,Asia,,2015-05,3059
Unstated,,,2015-05,0
"Korea,Republic of",Asia,,2015-06,985
Italy,Europe,,2015-06,76
Netherlands,Europe,,2015-06,80
Switzerland,Europe,,2015-06,38
Spain,Europe,,2015-06,65
United Kingdom,Europe,,2015-06,264
Austria,Europe,,2015-06,33
Greece,Europe,,2015-06,9
Germany,Europe,,2015-06,189
Sweden,Europe,,2015-06,123
"Others, Europe",Europe,,2015-06,165
Australia,Oceania,,2015-06,821
New Zealand,Oceania,,2015-06,192
"Others, Oceania",Oceania,,2015-06,15
S. Africa,Africa,,2015-06,39
"Others, Africa",Africa,,2015-06,25
Unstated,,,2015-06,1
Russian Federation,Europe,,2015-06,32
Japan,Asia,,2015-06,1258
Mainland China,Asia,,2015-06,4959
Belgium,Europe,,2015-06,47
India,Asia,,2015-06,69
Middle East,Asia,,2015-06,62
Malaysia,Asia,Southeast Asia,2015-06,1320
Singapore,Asia,Southeast Asia,2015-06,1317
Indonesia,Asia,Southeast Asia,2015-06,863
Philippines,Asia,Southeast Asia,2015-06,286
Thailand,Asia,Southeast Asia,2015-06,374
France,Europe,,2015-06,340
Vietnam,Asia,Southeast Asia,2015-06,1685
"Others, Asia",Asia,,2015-06,37
Canada,America,,2015-06,1114
United States of America,America,,2015-06,14849
Mexico,America,,2015-06,26
Brazil,America,,2015-06,29
Argentina,America,,2015-06,7
"Others, America",America,,2015-06,107
"Others, Southeast Asia",Asia,Southeast Asia,2015-06,117
HongKong. Macao,Asia,,2015-06,3439
HongKong. Macao,Asia,,2015-07,3771
Unstated,,,2015-07,5
United States of America,America,,2015-07,12578
Canada,America,,2015-07,1515
"Others, Asia",Asia,,2015-07,31
"Others, Southeast Asia",Asia,Southeast Asia,2015-07,112
Vietnam,Asia,Southeast Asia,2015-07,1838
Thailand,Asia,Southeast Asia,2015-07,396
Philippines,Asia,Southeast Asia,2015-07,331
Indonesia,Asia,Southeast Asia,2015-07,1092
Singapore,Asia,Southeast Asia,2015-07,925
Malaysia,Asia,Southeast Asia,2015-07,1119
Middle East,Asia,,2015-07,71
India,Asia,,2015-07,67
"Korea,Republic of",Asia,,2015-07,1266
Japan,Asia,,2015-07,1909
Mainland China,Asia,,2015-07,8555
Mexico,America,,2015-07,27
Brazil,America,,2015-07,28
Argentina,America,,2015-07,8
Greece,Europe,,2015-07,14
"Others, Africa",Africa,,2015-07,26
S. Africa,Africa,,2015-07,43
"Others, Oceania",Oceania,,2015-07,7
New Zealand,Oceania,,2015-07,171
Australia,Oceania,,2015-07,733
"Others, Europe",Europe,,2015-07,176
Russian Federation,Europe,,2015-07,26
Sweden,Europe,,2015-07,71
Spain,Europe,,2015-07,109
Austria,Europe,,2015-07,125
United Kingdom,Europe,,2015-07,580
Switzerland,Europe,,2015-07,155
Netherlands,Europe,,2015-07,194
Italy,Europe,,2015-07,113
Germany,Europe,,2015-07,346
France,Europe,,2015-07,688
Belgium,Europe,,2015-07,105
"Others, America",America,,2015-07,70
"Others, Europe",Europe,,2015-08,132
Australia,Oceania,,2015-08,575
"Others, Africa",Africa,,2015-08,14
Philippines,Asia,Southeast Asia,2015-08,271
Indonesia,Asia,Southeast Asia,2015-08,559
Singapore,Asia,Southeast Asia,2015-08,768
Malaysia,Asia,Southeast Asia,2015-08,932
Middle East,Asia,,2015-08,49
India,Asia,,2015-08,54
"Korea,Republic of",Asia,,2015-08,1399
Japan,Asia,,2015-08,2287
Mainland China,Asia,,2015-08,6442
HongKong. Macao,Asia,,2015-08,3682
Sweden,Europe,,2015-08,23
Russian Federation,Europe,,2015-08,26
Unstated,,,2015-08,6
S. Africa,Africa,,2015-08,42
"Others, Oceania",Oceania,,2015-08,6
Thailand,Asia,Southeast Asia,2015-08,283
Vietnam,Asia,Southeast Asia,2015-08,1314
"Others, Southeast Asia",Asia,Southeast Asia,2015-08,104
"Others, Asia",Asia,,2015-08,47
United Kingdom,Europe,,2015-08,397
Austria,Europe,,2015-08,66
Greece,Europe,,2015-08,1
Spain,Europe,,2015-08,100
Switzerland,Europe,,2015-08,38
Netherlands,Europe,,2015-08,61
Italy,Europe,,2015-08,77
New Zealand,Oceania,,2015-08,150
Germany,Europe,,2015-08,372
Belgium,Europe,,2015-08,42
"Others, America",America,,2015-08,52
Argentina,America,,2015-08,6
Brazil,America,,2015-08,22
Mexico,America,,2015-08,19
United States of America,America,,2015-08,9407
Canada,America,,2015-08,1116
France,Europe,,2015-08,432
HongKong. Macao,Asia,,2015-09,3656
Unstated,,,2015-09,2
Japan,Asia,,2015-09,1550
Germany,Europe,,2015-09,232
Italy,Europe,,2015-09,70
Mainland China,Asia,,2015-09,6012
Switzerland,Europe,,2015-09,47
Spain,Europe,,2015-09,63
United Kingdom,Europe,,2015-09,290
Austria,Europe,,2015-09,48
France,Europe,,2015-09,244
Greece,Europe,,2015-09,1
Russian Federation,Europe,,2015-09,23
"Others, Europe",Europe,,2015-09,134
Australia,Oceania,,2015-09,1041
New Zealand,Oceania,,2015-09,200
"Others, Oceania",Oceania,,2015-09,2
S. Africa,Africa,,2015-09,26
"Others, Africa",Africa,,2015-09,17
Sweden,Europe,,2015-09,18
Belgium,Europe,,2015-09,23
Netherlands,Europe,,2015-09,70
Argentina,America,,2015-09,7
"Korea,Republic of",Asia,,2015-09,1154
India,Asia,,2015-09,42
Middle East,Asia,,2015-09,48
"Others, America",America,,2015-09,51
Malaysia,Asia,Southeast Asia,2015-09,1105
Singapore,Asia,Southeast Asia,2015-09,1011
Philippines,Asia,Southeast Asia,2015-09,276
Indonesia,Asia,Southeast Asia,2015-09,645
Vietnam,Asia,Southeast Asia,2015-09,1332
"Others, Southeast Asia",Asia,Southeast Asia,2015-09,96
"Others, Asia",Asia,,2015-09,42
Canada,America,,2015-09,919
United States of America,America,,2015-09,8173
Mexico,America,,2015-09,20
Brazil,America,,2015-09,19
Thailand,Asia,Southeast Asia,2015-09,276
Malaysia,Asia,Southeast Asia,2015-10,1364
Indonesia,Asia,Southeast Asia,2015-10,733
